"REG","POP"
"afg",32269.589
"alb",2903.79
"are",9197.91
"arg",42196.03
"arm",2897.588
"aus",23254.913
"aut",8556.189
"aze",9385.468
"bel",11154.009
"ben",10004.591
"bfa",17072.785
"bgd",152761.418
"bgr",7290.088
"bhr",1315.028
"blr",9423.506
"bol",10542.377
"bra",201035.912
"bwa",2062.548
"caf",4447.944
"can",35296.528
"che",8108.878
"chl",17571.507
"chn",1415304.912
"civ",22087.504
"cmr",22077.294
"cod",71358.807
"cog",4622.762
"col",46495.493
"com",741.505
"cri",4742.107
"cyp",1143.866
"cze",10586.533
"deu",81174.367
"dnk",5638.145
"dom",10048.232
"dza",38140.133
"ecu",15707.474
"egy",88404.646
"esp",46930.555
"est",1319.062
"eth",95385.798
"fin",5438.982
"fra",64744.039
"gab",1817.071
"gbr",64984.018
"geo",4048.701
"gha",26607.645
"gin",10892.817
"gnq",1076.413
"grc",10740.5
"gtm",15595.816
"hkg",7088.778
"hnd",8798.521
"hrv",4276.598
"hun",9833.923
"idn",251805.307
"ind",1280842.125
"irl",4615.422
"irn",76481.961
"irq",33157.05
"isr",7734.841
"ita",60166.83
"jam",2858.712
"jor",8518.983
"jpn",128314.195
"kaz",17026.117
"ken",45519.981
"kgz",5731.303
"khm",15026.332
"kor",50345.717
"kwt",3526.376
"lao",6541.304
"lbn",5913.022
"lka",20663.046
"ltu",3008.934
"lux",542.56
"lva",2044.957
"mar",33715.703
"mdg",22961.255
"mex",118827.161
"mli",16449.854
"mng",2881.791
"moz",25560.755
"mus",1255.452
"mwi",15839.286
"mys",29468.923
"nam",2233.508
"ner",18504.281
"nga",171765.816
"nic",6062.457
"nld",16843.502
"nor",5079.455
"npl",26916.793
"nzl",4518.515
"omn",3764.806
"pak",191260.806
"pan",3835.435
"per",29773.987
"phl",98871.555
"pol",38158.041
"pri",3503.858
"prt",10473.021
"pry",6510.276
"pse",4333.523
"qat",2336.574
"rou",20132.776
"rus",144325.449
"rwa",10811.538
"sau",30052.059
"sdn",37072.55
"sen",13782.424
"slv",6266.07
"srb",8918.904
"svk",5421.725
"svn",2063.11
"swe",9618.016
"swz",1086.843
"syr",19578.461
"tcd",13220.433
"tgo",6954.722
"tha",68144.518
"tjk",8059.769
"tto",1353.703
"tun",10952.951
"tur",75925.462
"tza",48483.129
"uga",35694.519
"ukr",45286.983
"ury",3389.443
"usa",316400.538
"uzb",29932.631
"ven",29781.04
"vnm",90752.592
"xac",26015.781
"xca",345.715
"xcb",21683.398
"xea",25506.869
"xec",37123.769
"xee",4074.591
"xef",364.121
"xer",6245.018
"xnf",6825.218
"xoc",9481.959
"xsa",710.237
"xsc",2028.53
"xse",53005.762
"xsm",1555.63
"xsu",5366.378
"xwf",18541.776
"xws",25147.109
"zaf",53687.121
"zmb",14926.544
"zwe",13350.373
