"REG","QCROP"
"afg",15291302.2097901
"alb",5222179.75071348
"are",1962051.62523435
"arg",183841899.542702
"arm",5761773.39458077
"aus",77521913.2323407
"aut",10222660.9001382
"aze",11045912.0865481
"bel",15680225.2958243
"ben",13169437.2839187
"bfa",10306360.2372298
"bgd",133403919.924476
"bgr",17590906.3454685
"bhr",132467.140485962
"blr",22607941.9515835
"bol",15747624.137846
"bra",548708930.372755
"bwa",386849.824468232
"caf",3072853.70036263
"can",144983559.162354
"che",3856849.13135202
"chl",36157015.4564644
"chn",2904978163.28633
"civ",36287525.4277824
"cmr",38108405.7225925
"cod",49511277.6403377
"cog",2308144.51083374
"col",60737864.6569283
"com",472306.662113763
"cri",15311143.967529
"cyp",827558.616610477
"cze",13745566.6266165
"deu",94069155.0322542
"dnk",13719234.0544377
"dom",13623716.3221782
"dza",42679731.1476468
"ecu",23985601.6823099
"egy",114655480.585307
"esp",146375180.921523
"est",1690270.95461211
"eth",50623150.0802304
"fin",5359148.25618947
"fra",139270171.765102
"gab",1865742.60714264
"gbr",41858493.3448951
"geo",3706771.27121952
"gha",50335515.1330892
"gin",12912735.4905688
"gnq",457507.869233497
"grc",30759386.9068959
"gtm",26628300.9475384
"hkg",99942.814077929
"hnd",10808433.0664164
"hrv",8197439.58440025
"hun",26050688.2678956
"idn",443583392.58905
"ind",1206182185.73556
"irl",3609061.60745781
"irn",138631822.553157
"irq",22793915.8353419
"isr",9224452.19969082
"ita",119828616.676665
"jam",2242628.3435757
"jor",5546389.21389679
"jpn",60244752.4067396
"kaz",36037672.7369548
"ken",31849112.5290314
"kgz",6793520.85808376
"khm",26503336.5099159
"kor",40689258.1999501
"kwt",1708702.44716305
"lao",17750694.5470889
"lbn",5786250.15593287
"lka",20653204.9827811
"ltu",7182424.43689188
"lux",283519.439056635
"lva",3575125.1842302
"mar",42877791.5296319
"mdg",18020678.4462367
"mex",138119583.699829
"mli",19728930.9363604
"mng",928934.28571608
"moz",12933299.3437156
"mus",973580.703654953
"mwi",22865184.4384162
"mys",121384315.582875
"nam",1244470.0289134
"ner",14889036.6460815
"nga",202119757.865297
"nic",6099021.96220163
"nld",23504574.0988459
"nor",1728586.0885057
"npl",33300079.5178229
"nzl",8012725.32172937
"omn",2945309.99672647
"pak",111777803.648716
"pan",2669492.24155403
"per",42236123.627221
"phl",123518676.030598
"pol",69266543.874641
"pri",589908.943322665
"prt",14437599.2049796
"pry",27974644.2653297
"pse",2346640.16537203
"qat",276443.51578238
"rou",49161413.0428485
"rus",206090945.077916
"rwa",14448019.1840749
"sau",13795524.5965965
"sdn",30077132.9104247
"sen",5837763.4127871
"slv",4363967.86645052
"srb",23874024.124684
"svk",5684859.63194458
"svn",1446980.19609102
"swe",7926364.47495314
"swz",1649601.07351359
"syr",22029287.783479
"tcd",8222313.78785602
"tgo",4852197.24134132
"tha",171221874.551263
"tjk",8297055.75881321
"tto",246402.474770727
"tun",18457343.2735273
"tur",191361271.860726
"tza",51342956.4853723
"uga",32179430.4970065
"ukr",157024206.612439
"ury",10962709.8537227
"usa",868494130.946776
"uzb",43511455.5268441
"ven",18050498.1618208
"vnm",166250497.890566
"xac",25140276.4074889
"xca",925405.535823491
"xcb",25205993.884511
"xea",23749021.1408642
"xec",17502022.7354975
"xee",8883907.62595383
"xef",17736.1261233778
"xer",11047242.0616598
"xnf",5787876.19362873
"xoc",15109650.098665
"xsa",666204.7999351
"xsc",390401.919566571
"xse",100538973.816997
"xsm",3198294.37369774
"xsu",5323056.49633005
"xwf",12726416.5286361
"xws",6332847.06845101
"zaf",48043204.7700631
"zmb",7405016.32259206
"zwe",3837735.99397035
