"REG","INC"
"afg",19737.824024
"alb",12702.537306
"are",382069.271704
"arg",632629.122424
"arm",11958.81198
"aus",1342374.995624
"aut",408170.345615
"aze",52302.382335
"bel",484235.191547
"ben",13258.773037
"bfa",14200.357381
"bgd",241045.429534
"bgr",55214.520517
"bhr",34112.362153
"blr",58243.978042
"bol",37364.958856
"bra",1797736.638246
"bwa",16171.223904
"caf",1925.709403
"can",1658836.160033
"che",749096.375856
"chl",260354.485742
"chn",13493438.529654
"civ",56308.362134
"cmr",34850.235041
"cod",42593.567816
"cog",9439.855797
"col",311467.946722
"com",1090.575055
"cri",62519.904335
"cyp",23622.848783
"cze",209255.388993
"deu",3561301.70786
"dnk",327708.263159
"dom",84981.690577
"dza",175599.433167
"ecu",101689.830587
"egy",363774.862219
"esp",1296983.726387
"est",26002.976732
"eth",79404.66358
"fin",251566.290194
"fra",2568424.971675
"gab",14866.320221
"gbr",3139010.896455
"geo",16914.81744
"gha",59393.666186
"gin",11433.119015
"gnq",10626.233377
"grc",200060.872984
"gtm",68004.341801
"hkg",337419.676802
"hnd",23730.778961
"hrv",55265.837416
"hun",140567.17711
"idn",999178.586346
"ind",2644070.325797
"irl",353262.192223
"irn",455996.392528
"irq",191222.082047
"isr",340223.872904
"ita",1908166.139522
"jam",14811.198348
"jor",40954.868058
"jpn",4578913.522437
"kaz",202016.210815
"ken",80133.578827
"kgz",7572.252112
"khm",22179.853122
"kor",1601903.713674
"kwt",115116.342367
"lao",17491.186771
"lbn",50383.271293
"lka",90088.343389
"ltu",46048.888511
"lux",65147.153745
"lva",29971.449461
"mar",114688.639319
"mdg",12629.254471
"mex",1255067.964614
"mli",16251.209527
"mng",13428.648371
"moz",17772.244368
"mus",13077.981201
"mwi",10216.294256
"mys",348947.551201
"nam",11346.862981
"ner",11518.51749
"nga",500009.620671
"nic",13487.14222
"nld",823802.397137
"nor",403458.92322
"npl",27877.997386
"nzl",200989.54627
"omn",72798.268605
"pak",314805.372834
"pan",62102.217548
"per",210304.967193
"phl",373379.141168
"pol",544288.897732
"pri",95013.024204
"prt",216465.718529
"pry",40841.122661
"pse",15616.2
"qat",166227.185733
"rou",208646.167929
"rus",1430116.041548
"rwa",10199.887241
"sau",676339.31133
"sdn",93561.269866
"sen",21549.50157
"slv",25168.444698
"srb",43721.754124
"svk",96533.237846
"svn",48667.926988
"swe",539113.433182
"swz",4285.756948
"syr",18981.309278
"tcd",10925.566134
"tgo",6451.316012
"tha",450538.851348
"tjk",10351.650055
"tto",22805.045157
"tun",45737.43703
"tur",988639.20051
"tza",59263.724623
"uga",33400.152144
"ukr",98806.521745
"ury",60095.811775
"usa",19479577.090446
"uzb",95649.985952
"ven",193630.568866
"vnm",234736.466205
"xac",110764.534416
"xca",1804.193151
"xcb",106416.016594
"xea",68053.660944
"xec",15740.039106
"xee",8830.217596
"xef",27230.514033
"xer",33253.686232
"xnf",68397.803604
"xoc",31257.09014
"xsa",2336.474469
"xsc",2338.681023
"xse",78265.05587
"xsm",10009.146799
"xsu",34987.150983
"xwf",17002.893685
"xws",20090.817588
"zaf",325733.912532
"zmb",23309.255438
"zwe",22077.324321
