"REG","QCROP"
"afg",15859542.6656049
"alb",6311151.14771346
"are",3087723.30103244
"arg",184413129.146311
"arm",4140950.82129529
"aus",78294528.2797444
"aut",11365554.7787535
"aze",13296286.5926708
"bel",14784547.4913035
"ben",17237721.9824542
"bfa",12649780.0953188
"bgd",151694900.803811
"bgr",18723344.2072086
"bhr",168193.393274525
"blr",21759834.7271309
"bol",17309811.821601
"bra",602894987.070236
"bwa",733441.189177634
"caf",3347574.13815331
"can",139030250.605215
"che",4762058.98790297
"chl",43008799.7505594
"chn",3123842902.05153
"civ",55207162.6640467
"cmr",36722018.8074083
"cod",51258519.2642104
"cog",2501627.25817104
"col",63458327.4759245
"com",638280.548163649
"cri",16626648.0543471
"cyp",743157.821357428
"cze",12806190.1134674
"deu",79493300.3134548
"dnk",10564875.9325502
"dom",17275806.3672719
"dza",51704330.9538283
"ecu",27511436.3330748
"egy",122517980.666529
"esp",184014773.153705
"est",1342070.97957388
"eth",65164444.7638967
"fin",3980206.44982581
"fra",142026172.199179
"gab",1604217.99486324
"gbr",42297237.5732139
"geo",3406101.03434351
"gha",60365096.5139459
"gin",15403515.6652271
"gnq",537559.296457224
"grc",39090082.9809762
"gtm",32836865.0679886
"hkg",116059.771811332
"hnd",13740227.631504
"hrv",6132278.74288642
"hun",28500943.1285993
"idn",509313982.530699
"ind",1375880584.8997
"irl",2611660.03710358
"irn",125244357.174422
"irq",11774581.6052174
"isr",8876437.61702846
"ita",126531272.014073
"jam",2279120.42474875
"jor",6022124.98249116
"jpn",59751470.7554067
"kaz",42178129.4099525
"ken",35261746.7657531
"kgz",7808652.92818037
"khm",31015102.0535915
"kor",39672816.7834352
"kwt",1464711.47482446
"lao",29363317.9858528
"lbn",7338641.3310317
"lka",20793381.7169906
"ltu",6530826.47381022
"lux",287635.417375251
"lva",3054641.510456
"mar",51426058.9093966
"mdg",18267616.0909687
"mex",173225998.554965
"mli",27504899.0553562
"mng",966634.495854168
"moz",17463976.4261237
"mus",891557.390139068
"mwi",32472898.6354939
"mys",110817055.445133
"nam",2237781.29202622
"ner",24705021.0317382
"nga",282439354.317378
"nic",7495454.41465709
"nld",23953007.4518716
"nor",1604582.63113114
"npl",34490699.496351
"nzl",9784448.05012505
"omn",4232604.72303765
"pak",114151769.858324
"pan",3101796.5487226
"per",54190523.835675
"phl",107223290.310627
"pol",69639955.9509465
"pri",502134.69296146
"prt",17839507.432852
"pry",30009767.2712515
"pse",2203197.98756964
"qat",322986.708967414
"rou",61506469.4712845
"rus",224721654.784738
"rwa",11725882.2948035
"sau",16906551.71103
"sdn",43481262.4496687
"sen",14156389.0818217
"slv",4371636.34496358
"srb",22877250.905115
"svk",6569961.82361281
"svn",1955821.34258809
"swe",5519719.06139801
"swz",1921907.75794987
"syr",21962230.0576007
"tcd",10052999.8738874
"tgo",5936924.11333321
"tha",168321643.844667
"tjk",10377358.6406383
"tto",385355.445663491
"tun",25932268.5581732
"tur",221352615.969798
"tza",59400812.9480744
"uga",26214744.2406819
"ukr",169147510.118585
"ury",7573432.17704842
"usa",919263838.149286
"uzb",48561589.3215765
"ven",16147708.1856776
"vnm",181414317.660361
"xac",24438870.7415691
"xca",925491.871369608
"xcb",21716475.2413235
"xea",20464929.6899462
"xec",20774175.8291773
"xee",12516172.825039
"xef",21170.3961437679
"xer",11100472.7726531
"xnf",5994017.25031802
"xoc",20619859.8540485
"xsa",815441.998970833
"xsc",440949.392404603
"xse",99321805.0850402
"xsm",4493548.61068395
"xsu",5140637.92866865
"xwf",12135318.9008724
"xws",5070821.94072049
"zaf",54027444.9404415
"zmb",8762873.94851109
"zwe",4488011.12990257
