"REG","QLAND"
"afg",8010
"alb",696
"are",81.75
"arg",33700.7597
"arm",504.7
"aus",31306
"aut",1394.02
"aze",2352.9
"bel",874
"ben",3400
"bfa",6143
"bgd",9002.3
"bgr",3631
"bhr",4.6
"blr",5823
"bol",4727
"bra",63518
"bwa",261.6
"caf",1880
"can",38860
"che",423.3603
"chl",1680
"chn",135671.7
"civ",8000
"cmr",7750
"cod",15344
"cog",628
"col",9892
"com",116
"cri",582.5
"cyp",130.2947
"cze",2533
"deu",11930
"dnk",2419.8
"dom",1232
"dza",8517.017
"ecu",2354
"egy",3863
"esp",16770.3639
"est",690
"eth",17903
"fin",2247
"fra",19169.48
"gab",495
"gbr",6083.953
"geo",434.2
"gha",5224.4
"gin",3800
"gnq",186.41
"grc",3226.3996
"gtm",2045
"hkg",4
"hnd",1596
"hrv",876
"hun",4497
"idn",51300
"ind",168777.911
"irl",452
"irn",17438
"irq",5250
"isr",483.3
"ita",9160
"jam",215
"jor",279.8
"jpn",4420
"kaz",29880
"ken",6330
"kgz",1365
"khm",4191
"kor",1596
"kwt",14
"lao",1505.8
"lbn",271.55
"lka",2371.6
"ltu",2151
"lux",63.676
"lva",1303
"mar",9525.8072
"mdg",3600
"mex",22607
"mli",6561
"mng",1332.4
"moz",5950
"mus",79
"mwi",3800
"mys",8286
"nam",810
"ner",17815
"nga",41500
"nic",1790
"nld",1059
"nor",806.283
"npl",2325.7
"nzl",589
"omn",108.89
"pak",31953
"pan",684
"per",5898.589
"phl",11114
"pol",11362
"pri",66.2
"prt",1717.3449
"pry",4822
"pse",167.3
"qat",24
"rou",9126
"rus",123442
"rwa",1401.7
"sau",3595.9169
"sdn",21210.84
"sen",3278
"slv",881
"srb",2788
"svk",1365
"svn",235.75
"swe",2545.24
"swz",190
"syr",5733
"tcd",5238
"tgo",2820
"tha",22010
"tjk",1036.6
"tto",47
"tun",4950.5
"tur",23180
"tza",15097.4
"uga",9100
"ukr",33752
"ury",2190.8
"usa",160436.8
"uzb",4417.8
"ven",3300
"vnm",11498.5
"xac",5215
"xca",122
"xcb",4911.6
"xea",2543
"xec",5846.7
"xee",1916
"xef",122.48
"xer",1602.6
"xnf",2054
"xoc",1394.5
"xsa",100
"xsc",433.3
"xse",12782.4
"xsm",556.82
"xsu",2000
"xwf",3855
"xws",1452
"zaf",12413
"zmb",3836
"zwe",4100
