"REG","POP"
"afg",37171.921
"alb",2882.74
"are",9630.959
"arg",44361.15
"arm",2951.745
"aus",24898.152
"aut",8891.388
"aze",9949.537
"bel",11482.178
"ben",11485.044
"bfa",19751.466
"bgd",161376.708
"bgr",7051.608
"bhr",1569.446
"blr",9452.617
"bol",11353.142
"bra",209469.323
"bwa",2254.068
"caf",4666.368
"can",37074.562
"che",8525.611
"chl",18729.16
"chn",1451374.246
"civ",25069.23
"cmr",25216.267
"cod",84068.091
"cog",5244.359
"col",49661.048
"com",832.322
"cri",4999.441
"cyp",1189.265
"cze",10665.677
"deu",83124.418
"dnk",5752.126
"dom",10627.141
"dza",42228.408
"ecu",17084.358
"egy",98423.598
"esp",46692.858
"est",1322.92
"eth",109224.414
"fin",5522.576
"fra",65873.037
"gab",2119.275
"gbr",67141.684
"geo",4002.942
"gha",29767.102
"gin",12414.293
"gnq",1308.975
"grc",10522.246
"gtm",17247.849
"hkg",7371.73
"hnd",9587.522
"hrv",4156.405
"hun",9707.499
"idn",267670.543
"ind",1352642.28
"irl",4818.69
"irn",81800.188
"irq",38433.6
"isr",8381.516
"ita",60627.291
"jam",2934.847
"jor",9965.318
"jpn",127202.192
"kaz",18319.618
"ken",51392.565
"kgz",6304.03
"khm",16249.792
"kor",51171.706
"kwt",4137.312
"lao",7061.507
"lbn",6859.408
"lka",21228.763
"ltu",2801.264
"lux",604.245
"lva",1928.459
"mar",36029.093
"mdg",26262.313
"mex",126190.788
"mli",19077.749
"mng",3170.216
"moz",29496.004
"mus",1267.185
"mwi",18143.217
"mys",31528.033
"nam",2448.301
"ner",22442.822
"nga",195874.683
"nic",6465.501
"nld",17059.56
"nor",5337.962
"npl",28095.714
"nzl",4743.131
"omn",4829.473
"pak",212228.286
"pan",4176.869
"per",31989.26
"phl",106651.394
"pol",37921.592
"pri",3039.596
"prt",10256.193
"pry",6956.066
"pse",4862.979
"qat",2781.682
"rou",19506.114
"rus",145734.038
"rwa",12301.97
"sau",33702.756
"sdn",41801.533
"sen",15854.323
"slv",6420.746
"srb",8802.754
"svk",5453.014
"svn",2077.837
"swe",9971.638
"swz",1136.281
"syr",16945.057
"tcd",15477.729
"tgo",7889.093
"tha",69428.453
"tjk",9100.835
"tto",1389.843
"tun",11565.201
"tur",82340.088
"tza",56313.438
"uga",42729.036
"ukr",44246.156
"ury",3449.285
"usa",327096.265
"uzb",32476.244
"ven",28887.118
"vnm",95545.962
"xac",30809.787
"xca",383.071
"xcb",22461.312
"xea",26181.24
"xec",41571.236
"xee",4051.944
"xef",374.623
"xer",6034.691
"xnf",7245.961
"xoc",10435.343
"xsa",754.388
"xsc",2108.328
"xse",54976.294
"xsm",1637.934
"xsu",5850.901
"xwf",21026.833
"xws",28498.683
"zaf",57792.518
"zmb",17351.708
"zwe",14438.802
