"REG","VCROP"
"afg",3574252271.1427
"alb",1422339016.88485
"are",695877696.73272
"arg",41561037387.8708
"arm",933242728.985113
"aus",17645174354.7959
"aut",2561445864.94652
"aze",2996573328.35236
"bel",3331981480.34952
"ben",3884851426.31089
"bfa",2850870683.25148
"bgd",34187356795.2666
"bgr",4219664902.51561
"bhr",37905608.6659067
"blr",4903996308.91066
"bol",3901098254.90674
"bra",135873954390.232
"bwa",165295046.108303
"caf",754440069.199606
"can",31333134848.8966
"che",1073221372.87989
"chl",9692858326.92677
"chn",704017941927.51
"civ",12441993485.9318
"cmr",8276011603.28404
"cod",11552090924.5921
"cog",563789706.777734
"col",14301551809.2867
"com",143848769.602154
"cri",3747134190.61091
"cyp",167484875.62412
"cze",2886120682.21957
"deu",17915340636.032
"dnk",2380997522.59271
"dom",3893434473.23727
"dza",11652563143.6035
"ecu",6200230099.26688
"egy",27611777961.471
"esp",41471260220.8163
"est",302461448.474163
"eth",14686058079.1046
"fin",897015900.323515
"fra",32008323269.3431
"gab",361541308.75307
"gbr",9532494135.97491
"geo",767630228.338586
"gha",13604432855.4723
"gin",3471477835.82827
"gnq",121149302.772964
"grc",8809700305.98181
"gtm",7400417655.23309
"hkg",26156296.6682896
"hnd",3096623960.31316
"hrv",1382026688.04422
"hun",6423234443.4517
"idn",114783679275.512
"ind",310081091812.577
"irl",588587704.947802
"irn",28226219224.4251
"irq",2653627909.17517
"isr",2000475548.46125
"ita",28516250178.3671
"jam",513643522.144731
"jor",1357201424.37999
"jpn",13466140515.8169
"kaz",9505650825.79724
"ken",7946911277.28967
"kgz",1759829778.9282
"khm",6989848401.81986
"kor",8941030550.54352
"kwt",330100837.448103
"lao",6617587165.79087
"lbn",1653903646.37865
"lka",4686187577.64516
"ltu",1471847067.00777
"lux",64824160.7902229
"lva",688422080.414242
"mar",11589849198.5815
"mdg",4116957826.477
"mex",39039802837.3683
"mli",6198756798.28805
"mng",217849632.553693
"moz",3935842206.82661
"mus",200929566.113506
"mwi",7318390835.45693
"mys",24974749931.795
"nam",504326955.322094
"ner",5567750558.33243
"nga",63653128271.9976
"nic",1689244483.88644
"nld",5398269867.59362
"nor",361623486.533109
"npl",7773140979.37334
"nzl",2205113123.52546
"omn",953898694.504987
"pak",25726291815.2069
"pan",699049373.153631
"per",12212874417.5037
"phl",24164825997.3664
"pol",15694700406.448
"pri",113165688.606481
"prt",4020475325.32089
"pry",6763276917.08024
"pse",496532944.037922
"qat",72791252.7124348
"rou",13861663153.4074
"rus",50645337127.6114
"rwa",2642652585.07408
"sau",3810215850.76306
"sdn",9799336862.33775
"sen",3190413928.93476
"slv",985232138.407323
"srb",5155827486.90756
"svk",1480666969.06063
"svn",440781870.139018
"swe",1243974609.3094
"swz",433138793.067277
"syr",4949609980.43028
"tcd",2265636430.29671
"tgo",1337999773.58135
"tha",37934512392.9101
"tjk",2338736902.55929
"tto",86847244.331141
"tun",5844334338.27508
"tur",49886059581.6086
"tza",13387113050.1026
"uga",5907995653.80208
"ukr",38120637205.4252
"ury",1706818268.96981
"usa",207173745836.329
"uzb",10944286010.1744
"ven",3639195900.74803
"vnm",40885197674.8106
"xac",5507768483.23985
"xca",208577352.633312
"xcb",4894224416.75144
"xea",4612164610.62914
"xec",4681859162.28139
"xee",2820759721.08141
"xef",4771155.01331306
"xer",2501704548.16831
"xnf",1350866807.57075
"xoc",4647081096.09075
"xsa",183775502.12262
"xsc",99376407.0309045
"xse",22384074678.8431
"xsm",1012707406.88251
"xsu",1158541401.79681
"xwf",2734926981.00005
"xws",1142807029.20188
"zaf",12176121459.1143
"zmb",1974881796.5684
"zwe",1011459429.32877
