"REG","QCROP"
"afg",17694601.0443136
"alb",5766914.32927673
"are",2812593.9801624
"arg",200639696.608916
"arm",6250047.56708836
"aus",85217649.8225203
"aut",12221110.369774
"aze",10777615.695348
"bel",17105700.3973838
"ben",21327364.3146573
"bfa",11991395.1852403
"bgd",150363787.838701
"bgr",18348706.7457102
"bhr",150214.941429335
"blr",25746712.7695845
"bol",17984099.9108899
"bra",642844689.826433
"bwa",523782.966670488
"caf",4507983.73866391
"can",128265527.204118
"che",4756750.55475585
"chl",37199660.2810039
"chn",3119177306.91663
"civ",60379076.7462309
"cmr",47813214.5877724
"cod",57421679.1618413
"cog",2805602.29028852
"col",71899836.3543983
"com",592772.328244183
"cri",17875904.3129927
"cyp",915177.628718007
"cze",16241851.2246877
"deu",108152930.771678
"dnk",14751027.3972359
"dom",16929690.7028215
"dza",44704357.0309746
"ecu",31134100.6606361
"egy",129657950.143992
"esp",151028209.831084
"est",1915047.99586076
"eth",61927551.4094921
"fin",5360184.09084908
"fra",162229076.891063
"gab",2535604.75478596
"gbr",49837748.2807916
"geo",3399780.4863037
"gha",74695987.7153503
"gin",16604260.3214681
"gnq",564748.429336164
"grc",38500029.4084037
"gtm",33173773.4975347
"hkg",97033.8890412404
"hnd",11691151.1319729
"hrv",8077320.07356938
"hun",31825106.7784917
"idn",506305487.59818
"ind",1339887391.50317
"irl",3769074.3258788
"irn",161538820.562146
"irq",22516622.0461735
"isr",9589492.05591745
"ita",128532000.550613
"jam",3009780.06833334
"jor",5965521.78923445
"jpn",63150335.2331895
"kaz",37093424.705001
"ken",31218516.8368804
"kgz",6740808.42338493
"khm",27765562.5468371
"kor",44581883.6258227
"kwt",1598163.76247991
"lao",24665481.7688008
"lbn",6847311.25536654
"lka",18035247.8263674
"ltu",8286357.52131658
"lux",310637.135488777
"lva",3748152.66230141
"mar",47008740.2497223
"mdg",22154053.4045109
"mex",159805537.318922
"mli",20824776.6316348
"mng",1134785.58390743
"moz",12828629.6368657
"mus",1342491.13457362
"mwi",30298476.0179114
"mys",137662764.609503
"nam",1768929.92947188
"ner",18823231.2754186
"nga",344362574.663592
"nic",7577257.74630306
"nld",25209581.5001826
"nor",2110274.72001691
"npl",34651641.4609568
"nzl",9769754.70835464
"omn",3066624.31535187
"pak",123716064.539002
"pan",3156042.98646956
"per",52049085.2556391
"phl",150816462.866298
"pol",77644950.1196418
"pri",566078.91491647
"prt",16562361.3573587
"pry",30227566.3428972
"pse",2121858.85422897
"qat",273000.316200772
"rou",51113331.9859569
"rus",226026485.647657
"rwa",11880587.2631849
"sau",10118033.0940953
"sdn",40940722.9902078
"sen",8658411.83207114
"slv",5080511.45963972
"srb",22413142.1141364
"svk",7569354.23121001
"svn",1850290.38582744
"swe",8974935.45285446
"swz",2199737.70694645
"syr",18335686.4033419
"tcd",11309631.3343604
"tgo",7213168.893266
"tha",196047051.148196
"tjk",8393143.00037582
"tto",265865.113242232
"tun",21155040.2628353
"tur",198298267.351475
"tza",61146130.2801369
"uga",33973968.5096169
"ukr",160981022.654124
"ury",12948520.6240703
"usa",953075733.652406
"uzb",49437295.9101423
"ven",21004708.9230735
"vnm",178550548.228816
"xac",24206624.0014782
"xca",1101855.9425326
"xcb",29031396.264714
"xea",23232906.4623348
"xec",17761220.0880668
"xee",10328111.6580225
"xef",21390.2773537432
"xer",8950615.48195168
"xnf",6441561.69213128
"xoc",19888728.5728972
"xsa",801329.917113131
"xsc",376193.622801357
"xse",103454092.892606
"xsm",3740553.03592783
"xsu",5479469.4712762
"xwf",13820993.9741933
"xws",6442449.42781401
"zaf",54817454.1835465
"zmb",9050898.02803563
"zwe",4358165.84051866
