"REG","VCROP"
"afg",4208019672.76098
"alb",1371451601.98581
"are",668873560.379931
"arg",47714881412.2848
"arm",1486347335.6723
"aus",20265930043.9476
"aut",2906348254.48743
"aze",2563065352.9799
"bel",4067970993.42789
"ben",5071940778.96769
"bfa",2851718821.85829
"bgd",35758578320.6709
"bgr",4363575011.51368
"bhr",35723180.595836
"blr",6122922668.44611
"bol",4276866487.82871
"bra",152877315207.335
"bwa",124562798.702649
"caf",1072060579.90669
"can",30503307786.385
"che",1131220752.74265
"chl",8846591222.39973
"chn",741783295224.556
"civ",14358975493.9932
"cmr",11370640519.0722
"cod",13655665643.4845
"cog",667210840.295909
"col",17098770697.9036
"com",140969418.438596
"cri",4251136085.4694
"cyp",217641836.40375
"cze",3862535770.33922
"deu",25720255529.5947
"dnk",3507997344.81456
"dom",4026113465.50397
"dza",10631311402.4645
"ecu",7404117659.70729
"egy",30834445126.4766
"esp",35916587015.4112
"est",455424771.696297
"eth",14727224081.7662
"fin",1274725553.14617
"fra",38580307368.4348
"gab",603001710.169357
"gbr",11852102496.4887
"geo",808514593.44049
"gha",17763733977.1228
"gin",3948721641.66913
"gnq",134304949.563763
"grc",9155836898.8773
"gtm",7889179933.91006
"hkg",23075994.3661609
"hnd",2780316653.50114
"hrv",1920897887.87242
"hun",7568448425.38279
"idn",120406413623.248
"ind",318643663601.654
"irl",896337751.367005
"irn",38416154912.8888
"irq",5354762636.1924
"isr",2280513198.46252
"ita",30566678815.8595
"jam",715767126.170993
"jor",1418683189.5512
"jpn",15018018905.157
"kaz",8821326940.22419
"ken",7424192988.30303
"kgz",1603057022.01929
"khm",6603032932.46125
"kor",10602185541.0236
"kwt",380065339.47655
"lao",5865791054.64469
"lbn",1628384861.34502
"lka",4289030166.11741
"ltu",1970609870.09011
"lux",73873786.3573911
"lva",891362291.807333
"mar",11179325448.8839
"mdg",5268538822.89357
"mex",38003956301.1378
"mli",4952418510.44355
"mng",269867630.781232
"moz",3050824697.95743
"mus",319262869.541129
"mwi",7205394618.32177
"mys",32738100182.802
"nam",420675884.373527
"ner",4476423475.92494
"nga",81894159982.358
"nic",1801976183.70551
"nld",5995185459.63095
"nor",501852373.756404
"npl",8240637276.64694
"nzl",2323382138.30581
"omn",729285470.503155
"pak",29421382946.8615
"pan",750550461.232985
"per",12377988865.4415
"phl",35866230672.7484
"pol",18465037825.7043
"pri",134621357.347258
"prt",3938757491.3162
"pry",7188531321.61893
"pse",504607240.313393
"qat",64923232.7061704
"rou",12155453858.4181
"rus",53752209263.6287
"rwa",2825367172.85875
"sau",2406207532.05863
"sdn",9736267425.776
"sen",2059089506.05759
"slv",1208215552.09474
"srb",5330153684.07999
"svk",1800096619.03422
"svn",440024520.721507
"swe",2134363179.63826
"swz",523127903.396245
"syr",4360478594.88951
"tcd",2689585994.47806
"tgo",1715390843.21798
"tha",46622687109.6087
"tjk",1996004926.78119
"tto",63226383.2353355
"tun",5030959747.61576
"tur",47158057307.9709
"tza",14541391381.9046
"uga",8079477321.4835
"ukr",38283502892.9591
"ury",3079336424.86668
"usa",226654527377.959
"uzb",11756869411.0139
"ven",4995208885.89438
"vnm",42461777897.5339
"xac",5756668361.96249
"xca",262036508.826279
"xcb",6904065613.21684
"xea",5525104929.1297
"xec",4223862598.29469
"xee",2456167106.0336
"xef",5086902.36558294
"xer",2128579555.82308
"xnf",1531892030.56392
"xoc",4729813398.52533
"xsa",190567283.610366
"xsc",89464021.3447515
"xse",24602807208.2262
"xsm",889554996.056186
"xsu",1303093258.4283
"xwf",3286822596.04867
"xws",1532103146.32786
"zaf",13036345099.6917
"zmb",2152428125.54777
"zwe",1036431821.66862
