"REG","POP"
"afg",33370.794
"alb",2896.305
"are",9214.175
"arg",42637.511
"arm",2912.409
"aus",23596.424
"aut",8615.214
"aze",9505.622
"bel",11221.231
"ben",10286.844
"bfa",17586.03
"bgd",154517.382
"bgr",7245.646
"bhr",1336.075
"blr",9431.735
"bol",10706.517
"bra",202763.739
"bwa",2088.618
"caf",4464.175
"can",35664.337
"che",8206.002
"chl",17758.959
"chn",1422945.941
"civ",22647.684
"cmr",22681.852
"cod",73767.447
"cog",4736.976
"col",46967.696
"com",759.39
"cri",4795.396
"cyp",1152.285
"cze",10591.108
"deu",81450.378
"dnk",5664.196
"dom",10165.183
"dza",38923.692
"ecu",15951.84
"egy",90424.656
"esp",46777.925
"est",1316.277
"eth",98094.265
"fin",5461.411
"fra",65050.511
"gab",1883.8
"gbr",65423.047
"geo",4035.311
"gha",27224.473
"gin",11150.982
"gnq",1122.277
"grc",10701.456
"gtm",15923.236
"hkg",7134.67
"hnd",8955.589
"hrv",4255.512
"hun",9804.991
"idn",255128.076
"ind",1295600.772
"irl",4626.844
"irn",77465.77
"irq",34411.951
"isr",7854.213
"ita",60409.62
"jam",2875.139
"jor",8918.828
"jpn",128168.639
"kaz",17302.615
"ken",46700.055
"kgz",5844.532
"khm",15274.503
"kor",50607.907
"kwt",3690.941
"lao",6639.756
"lbn",6261.044
"lka",20788.511
"ltu",2971.497
"lux",554.516
"lva",2021.219
"mar",34192.357
"mdg",23589.888
"mex",120355.128
"mli",16934.214
"mng",2940.108
"moz",26286.191
"mus",1257.355
"mwi",16289.552
"mys",29866.603
"nam",2273.423
"ner",19240.179
"nga",176404.934
"nic",6142.731
"nld",16892.523
"nor",5142.265
"npl",26905.978
"nzl",4567.527
"omn",4027.26
"pak",195305.013
"pan",3901.314
"per",30090.359
"phl",100513.142
"pol",38091.089
"pri",3453.672
"prt",10418.218
"pry",6599.526
"pse",4428.639
"qat",2459.198
"rou",20035.93
"rus",144664.841
"rwa",11083.63
"sau",30916.597
"sdn",37977.655
"sen",14174.739
"slv",6295.128
"srb",8898.289
"svk",5428.803
"svn",2067.488
"swe",9692.131
"swz",1095.019
"syr",18710.711
"tcd",13663.566
"tgo",7138
"tha",68438.746
"tjk",8252.833
"tto",1362.345
"tun",11063.201
"tur",77229.256
"tza",49960.561
"uga",36911.523
"ukr",45111.532
"ury",3400.436
"usa",318673.411
"uzb",30426.388
"ven",30042.968
"vnm",91713.848
"xac",26941.779
"xca",353.366
"xcb",21855.913
"xea",25647.998
"xec",38032.891
"xee",4073.407
"xef",365.817
"xer",6186.525
"xnf",6877.032
"xoc",9664.15
"xsa",719.055
"xsc",2043.445
"xse",53455.155
"xsm",1571.426
"xsu",5466.328
"xwf",19024.029
"xws",25823.485
"zaf",54544.186
"zmb",15399.788
"zwe",13586.707
