"REG","INC"
"afg",18982.386671
"alb",11139.761173
"are",340885.020862
"arg",627758.122763
"arm",10222.582287
"aus",1213998.717159
"aut",377982.923144
"aze",52524.970831
"bel",452903.833237
"ben",10068.49805
"bfa",11377.085478
"bgd",182506.968634
"bgr",49098.8438
"bhr",30297.627559
"blr",58702.846346
"bol",31471.565392
"bra",1868463.286799
"bwa",14669.656922
"caf",1624.103607
"can",1545938.274796
"che",690699.382519
"chl",238426.298831
"chn",10333925.269025
"civ",39851.375724
"cmr",29252.082282
"cod",35464.654935
"cog",12143.485979
"col",285055.785204
"com",946.780214
"cri",54453.244254
"cyp",19185.457929
"cze",178419.147314
"deu",3306899.034833
"dnk",295744.975314
"dom",66545.421395
"dza",160057.009441
"ecu",99192.306979
"egy",304434.485997
"esp",1150977.303116
"est",22465.272195
"eth",57143.6002
"fin",233172.41767
"fra",2411371.44583
"gab",13835.52346
"gbr",2881016.339812
"geo",14514.386951
"gha",48994.848917
"gin",8470.141381
"gnq",14496.118991
"grc",195989.178301
"gtm",59741.346849
"hkg",302170.381228
"hnd",20203.944076
"hrv",48927.433405
"hun",120739.043971
"idn",820828.013261
"ind",1987808.384516
"irl",232841.941407
"irn",423240.894622
"irq",159252.666895
"isr",293389.902577
"ita",1821720.705809
"jam",14068.078436
"jor",37647.146138
"jpn",4376627.829634
"kaz",182201.980661
"ken",66327.503637
"kgz",6429.000641
"khm",16863.405074
"kor",1425723.208307
"kwt",113909.350118
"lao",13415.214784
"lbn",49776.391958
"lka",76760.172127
"ltu",40596.953568
"lux",58714.732789
"lva",26232.970565
"mar",96424.265758
"mdg",10979.121877
"mex",1134508.973367
"mli",12180.730328
"mng",11476.440293
"moz",14946.110198
"mus",11291.107442
"mwi",7575.154656
"mys",286754.62682
"nam",10871.578417
"ner",9229.435805
"nga",481801.877838
"nic",12173.31829
"nld",750559.833363
"nor",378358.747546
"npl",22762.123723
"nzl",170495.592116
"omn",65372.635689
"pak",254972.182451
"pan",51158.930735
"per",183824.537964
"phl",288153.025137
"pol",458392.890304
"pri",104471.873443
"prt",195804.978502
"pry",35171.376859
"pse",13471.1
"qat",154400.753946
"rou",172631.738371
"rus",1390920.790981
"rwa",7832.448726
"sau",628462.590304
"sdn",80697.765548
"sen",16698.253592
"slv",22889.918597
"srb",38952.445837
"svk",84209.231239
"svn",42158.436961
"swe",483402.482698
"swz",3971.142207
"syr",20623.90059
"tcd",11483.752492
"tgo",4812.162987
"tha",389101.599236
"tjk",7605.645479
"tto",24750.116208
"tun",42675.44539
"tur",814741.1426
"tza",45743.556699
"uga",27537.83185
"ukr",100891.036894
"ury",56090.354065
"usa",17726284.110946
"uzb",76174.203576
"ven",367187.774669
"vnm",181142.085544
"xac",115107.519698
"xca",1685.485112
"xcb",97501.058766
"xea",73867.223052
"xec",14875.84992
"xee",7771.527984
"xef",23038.738451
"xer",29336.861545
"xnf",48988.53032
"xoc",26903.631867
"xsa",1878.799731
"xsc",2288.20178
"xse",61542.202316
"xsm",9512.878371
"xsu",35501.459726
"xwf",15948.375692
"xws",41694.095363
"zaf",313671.24887
"zmb",20266.254392
"zwe",19614.016106
