"REG","QLAND"
"afg",7910
"alb",696
"are",82.5
"arg",39039.7
"arm",504.8
"aus",32307
"aut",1417.1
"aze",2160
"bel",839.3
"ben",3400
"bfa",6143
"bgd",8715
"bgr",3613
"bhr",4.6
"blr",5779.9
"bol",4702
"bra",62721
"bwa",404
"caf",1880
"can",38211
"che",424.9831
"chl",1746.2
"chn",135856.9
"civ",8000
"cmr",7750
"cod",14049
"cog",627
"col",3540.7
"com",118
"cri",544
"cyp",107.18
"cze",2535
"deu",12072
"dnk",2459.631
"dom",1155
"dza",8439.2
"ecu",2387
"egy",3715.19
"esp",17188
"est",657
"eth",16910
"fin",2234.1
"fra",19366.8
"gab",495
"gbr",6278.3
"geo",475
"gha",5238.8
"gin",3800
"gnq",188.13
"grc",3328
"gtm",1994.8
"hkg",4.1
"hnd",1560
"hrv",890.5
"hun",4503
"idn",46000
"ind",169463
"irl",466.18
"irn",16477
"irq",5269
"isr",397.7
"ita",9121
"jam",215
"jor",322
"jpn",4518
"kaz",29602.2
"ken",6330
"kgz",1355.8
"khm",3955
"kor",1691
"kwt",16.1
"lao",1658
"lbn",262
"lka",2300
"ltu",2384.3
"lux",64.16
"lva",1215
"mar",9082.5
"mdg",3600
"mex",24838
"mli",6561
"mng",1317.7
"moz",5950
"mus",79
"mwi",3800
"mys",7804
"nam",809
"ner",16900
"nga",41500
"nic",1790
"nld",1081.3
"nor",811.13
"npl",2325.7
"nzl",657
"omn",68.8
"pak",31252
"pan",724
"per",6031.58
"phl",10998
"pol",11304
"pri",78.3
"prt",1847.29
"pry",4748
"pse",154.8
"qat",21
"rou",9203
"rus",123442
"rwa",1399.5
"sau",3575.3
"sdn",19991.16
"sen",3272
"slv",876.6
"srb",2793.2
"svk",1378
"svn",237.11
"swe",2584.32
"swz",190
"syr",5733
"tcd",5236
"tgo",2820
"tha",21610
"tjk",937.2
"tto",47
"tun",4920
"tur",23937
"tza",14248.2
"uga",9100
"ukr",33663
"ury",2475.1
"usa",158799.3
"uzb",4416
"ven",3300
"vnm",10231.7
"xac",5190
"xca",110
"xcb",4864.67
"xea",2580
"xec",6023.1375
"xee",1966
"xef",123.03
"xer",1575.74
"xnf",2054
"xoc",1391.8
"xsa",112.6
"xsc",276.3
"xse",12516.1
"xsm",539.4
"xsu",2000
"xwf",3865
"xws",1451.6
"zaf",12413
"zmb",3836
"zwe",4100
