"REG","VCROP"
"afg",4093499609.31835
"alb",1419630334.996
"are",503820092.508436
"arg",48789013349.3489
"arm",1499084778.14848
"aus",22739236040.4277
"aut",2864693189.82968
"aze",2881961321.43709
"bel",3805314007.20355
"ben",3462154461.00208
"bfa",2911713260.05801
"bgd",34919678632.1263
"bgr",3721536891.0387
"bhr",35507378.333365
"blr",6638767199.72453
"bol",4311206116.51037
"bra",159094016760.293
"bwa",116831831.119023
"caf",911813681.39318
"can",32627068442.8387
"che",1172201744.04851
"chl",9264128232.80695
"chn",792211859680.66
"civ",10156135254.9013
"cmr",10048598903.221
"cod",12557173328.8189
"cog",643577715.310378
"col",16202537238.1791
"com",121729139.46899
"cri",4255759212.39155
"cyp",230525294.185068
"cze",3330859536.71943
"deu",24953368948.0436
"dnk",3673308711.86156
"dom",3414065293.2913
"dza",10226781847.4204
"ecu",7760640779.60256
"egy",32148934312.0679
"esp",31187330696.4831
"est",444799310.703895
"eth",12464839182.6018
"fin",1296204005.07977
"fra",38952210804.8049
"gab",473075814.255377
"gbr",10636781684.2823
"geo",739084327.660841
"gha",13401024886.3999
"gin",3618467852.51592
"gnq",131004988.795753
"grc",10019304306.7848
"gtm",7512024209.3915
"hkg",32011225.6907116
"hnd",3407393138.00772
"hrv",1832109705.86771
"hun",6181766596.1241
"idn",128456712240.587
"ind",323303148185.302
"irl",846049021.741023
"irn",34659879449.1062
"irq",5355429243.50509
"isr",2366205851.00043
"ita",32992758603.2528
"jam",639041093.917439
"jor",1411898206.16857
"jpn",16343965983.6486
"kaz",7556248808.16107
"ken",8379693023.8134
"kgz",1654534417.75524
"khm",7280581786.05592
"kor",10785597873.106
"kwt",384584844.495405
"lao",4601114557.60177
"lbn",1451076100.48059
"lka",5032585548.30922
"ltu",2113274864.87868
"lux",70848265.6677601
"lva",1012465347.99071
"mar",10148526923.1227
"mdg",5582729558.8668
"mex",37434626582.8064
"mli",5419790266.06323
"mng",273218485.788781
"moz",4124297489.20179
"mus",348322639.819138
"mwi",5363450942.44704
"mys",37858166441.3914
"nam",375869669.963756
"ner",4362590445.26948
"nga",58572082071.8418
"nic",1933057381.18544
"nld",5702765024.59131
"nor",483030215.679226
"npl",9370358906.44123
"nzl",2116373541.93676
"omn",702990093.67985
"pak",28868377100.1797
"pan",747359050.256688
"per",11243665777.6742
"phl",34398128569.6939
"pol",18938841454.9562
"pri",157211414.069385
"prt",3730124131.11487
"pry",5137104320.87552
"pse",604113965.476776
"qat",55233943.6921553
"rou",8997830408.36876
"rus",47382595120.5438
"rwa",3838173244.5705
"sau",3549814821.57538
"sdn",6652235063.51409
"sen",2081979287.01812
"slv",1515310386.23131
"srb",4356520735.08739
"svk",1377580453.66295
"svn",408294253.059054
"swe",2156072915.58174
"swz",542447565.713469
"syr",6980074993.8654
"tcd",3266851793.14711
"tgo",1499504304.16358
"tha",49548661932.401
"tjk",2055220341.65056
"tto",64653556.9077086
"tun",5394426878.83177
"tur",50774341455.6738
"tza",13689833999.9449
"uga",8540872574.44143
"ukr",35672981677.6656
"ury",3304370166.88725
"usa",222871812770.328
"uzb",10763681381.2782
"ven",4570359009.96398
"vnm",46073453229.1866
"xac",4982532456.65748
"xca",309188248.313692
"xcb",6784694961.73358
"xea",6492748635.2711
"xec",3924627320.39964
"xee",1958121773.44821
"xef",5585749.41363159
"xer",2258077538.25904
"xnf",1497648344.3323
"xoc",4254729258.40825
"xsa",193735864.067911
"xsc",96751191.3291774
"xse",27001234211.4302
"xsm",807102327.509522
"xsu",1337085730.69853
"xwf",3585528687.4686
"xws",1786720894.96656
"zaf",13242355398.426
"zmb",2268467004.50828
"zwe",1242719552.62008
