"REG","INC"
"afg",17267.933277
"alb",10836.949256
"are",310790.00956
"arg",628812.818388
"arm",9552.160865
"aus",1158602.409573
"aut",375404.098889
"aze",48274.641711
"bel",443827.452534
"ben",7851.253348
"bfa",10308.125946
"bgd",162316.17006
"bgr",48902.799819
"bhr",27542.612553
"blr",57151.4772
"bol",27943.01088
"bra",1804861.390264
"bwa",12650.251612
"caf",2551.231638
"can",1468601.636015
"che",662140.683175
"chl",225178.674702
"chn",8926362.008066
"civ",30096.102916
"cmr",26210.060085
"cod",29863.707588
"cog",11543.19965
"col",259462.404705
"com",836.594511
"cri",51310.359853
"cyp",20913.443992
"cze",174552.528076
"deu",3221315.024378
"dnk",288340.817828
"dom",59272.98564
"dza",149997.57133
"ecu",91066.617872
"egy",289482.925055
"esp",1151799.121599
"est",21495.047268
"eth",46865.095626
"fin",236155.807305
"fra",2374845.830988
"gab",12555.292698
"gbr",2745453.617746
"geo",13412.213037
"gha",44093.284042
"gin",7858.142887
"gnq",15058.603739
"grc",200095.687699
"gtm",55159.929891
"hkg",285201.918734
"hnd",19072.029218
"hrv",49276.222273
"hun",113790.554268
"idn",740537.688646
"ind",1739578.220593
"irl",211499.301051
"irn",409375.634099
"irq",147674.865858
"isr",268920.290211
"ita",1855973.235106
"jam",13899.733768
"jor",35488.605583
"jpn",4277925.608851
"kaz",164960.327256
"ken",59454.79362
"kgz",5572.078379
"khm",14653.603187
"kor",1339103.175287
"kwt",112054.668151
"lao",11540.046868
"lbn",46800.713
"lka",70730.483027
"ltu",37865.8245
"lux",55455.043567
"lva",25236.374248
"mar",88356.738977
"mdg",10385.448751
"mex",1088336.811946
"mli",10559.84241
"mng",9527.776501
"moz",13010.496561
"mus",10529.705749
"mwi",6085.78504
"mys",258378.508564
"nam",9702.494454
"ner",8181.432425
"nga",424861.900608
"nic",11071.852897
"nld",740990.805197
"nor",367253.0743
"npl",20740.250076
"nzl",161103.535371
"omn",61303.565807
"pak",233327.15467
"pan",45547.553926
"per",169620.372315
"phl",253818.844311
"pol",438475.659902
"pri",106055.857723
"prt",196075.096152
"pry",30842.899501
"pse",12886.9
"qat",138866.156526
"rou",160564.084214
"rus",1356935.298316
"rwa",7044.930498
"sau",590380.910432
"sdn",70590.182102
"sen",15448.356495
"slv",22012.337693
"srb",38468.835223
"svk",81442.643088
"svn",41449.492531
"swe",465359.818586
"swz",3788.8696
"syr",31200.527642
"tcd",10163.215422
"tgo",3879.422746
"tha",375224.183402
"tjk",6523.012241
"tto",24409.485035
"tun",40345.286837
"tur",715660.096153
"tza",40162.871966
"uga",25523.662839
"ukr",107994.453487
"ury",50509.064205
"usa",17016396.309626
"uzb",66061.228663
"ven",377003.137811
"vnm",162124.938226
"xac",104627.829158
"xca",1599.872274
"xcb",93559.802967
"xea",69035.493654
"xec",11456.620905
"xee",6787.618499
"xef",21575.572218
"xer",27994.684118
"xnf",77936.658655
"xoc",23272.786716
"xsa",1739.316835
"xsc",2210.102579
"xse",53029.655971
"xsm",9045.83186
"xsu",33791.401189
"xwf",14093.283136
"xws",44558.276647
"zaf",300514.438649
"zmb",18425.885195
"zwe",18784.90466
