"REG","POP"
"afg",31161.376
"alb",2914.096
"are",9141.596
"arg",41755.196
"arm",2884.234
"aus",22903.948
"aut",8502.227
"aze",9264.692
"bel",11085.358
"ben",9729.249
"bfa",16571.253
"bgd",151005.739
"bgr",7334.003
"bhr",1299.944
"blr",9417.046
"bol",10377.676
"bra",199287.299
"bwa",2039.556
"caf",4436.416
"can",34922.03
"che",8008.012
"chl",17400.347
"chn",1407553.297
"civ",21547.188
"cmr",21485.265
"cod",69020.747
"cog",4510.199
"col",46075.718
"com",723.871
"cri",4688
"cyp",1135.046
"cze",10581.293
"deu",80972.628
"dnk",5610.903
"dom",9930.916
"dza",37383.895
"ecu",15474.101
"egy",86422.243
"esp",47063.06
"est",1323.159
"eth",92726.985
"fin",5414.77
"fra",64408.205
"gab",1749.682
"gbr",64525.312
"geo",4064.106
"gha",25996.45
"gin",10652.031
"gnq",1031.191
"grc",10781.125
"gtm",15270.771
"hkg",7046.848
"hnd",8640.691
"hrv",4295.878
"hun",9864.358
"idn",248451.722
"ind",1265780.247
"irl",4608.198
"irn",75539.878
"irq",31890.011
"isr",7614.952
"ita",59879.471
"jam",2842.132
"jor",8089.962
"jpn",128423.571
"kaz",16751.525
"ken",44343.467
"kgz",5621.576
"khm",14780.454
"kor",50060.639
"kwt",3348.853
"lao",6444.53
"lbn",5537.612
"lka",20532.6
"ltu",3045.561
"lux",530.857
"lva",2069.016
"mar",33241.9
"mdg",22346.645
"mex",117274.155
"mli",15979.496
"mng",2824.698
"moz",24862.664
"mus",1253.488
"mwi",15396.015
"mys",29068.189
"nam",2194.783
"ner",17795.21
"nga",167228.794
"nic",5982.526
"nld",16791.84
"nor",5013.709
"npl",26989.163
"nzl",4468.457
"omn",3498.029
"pak",187280.129
"pan",3770.626
"per",29506.788
"phl",97212.643
"pol",38227.044
"pri",3536.572
"prt",10526.308
"pry",6421.513
"pse",4241.573
"qat",2196.073
"rou",20227.469
"rus",143993.892
"rwa",10549.673
"sau",29154.9
"sdn",36193.783
"sen",13401.992
"slv",6237.923
"srb",8940.113
"svk",5414.889
"svn",2057.823
"swe",9542.812
"swz",1079.288
"syr",20438.856
"tcd",12784.75
"tgo",6773.809
"tha",67835.962
"tjk",7874.835
"tto",1344.819
"tun",10847.002
"tur",74651.05
"tza",47053.03
"uga",34558.704
"ukr",45453.806
"ury",3378.975
"usa",314043.885
"uzb",29449.413
"ven",29360.837
"vnm",89801.926
"xac",25107.931
"xca",338
"xcb",21508.034
"xea",25364.684
"xec",36193.377
"xee",4075.808
"xef",362.267
"xer",6305.175
"xnf",6781.521
"xoc",9301.632
"xsa",701.581
"xsc",2014.994
"xse",52546.698
"xsm",1540.31
"xsu",5267.9
"xwf",18064.79
"xws",24473.178
"zaf",52832.658
"zmb",14465.15
"zwe",13115.15
