"REG","QCROP"
"afg",13782595.1950902
"alb",4779819.73892951
"are",1696335.42174759
"arg",164270009.805595
"arm",5047338.61786847
"aus",76561796.8247488
"aut",9645269.41780477
"aze",9703410.29735406
"bel",12812289.6194013
"ben",11656889.701478
"bfa",9803583.4903227
"bgd",117572698.390798
"bgr",12530216.5306233
"bhr",119551.451988334
"blr",22352375.6298787
"bol",14515601.4113688
"bra",535661082.26236
"bwa",393366.553779338
"caf",3070028.10880439
"can",109853601.970913
"che",3946740.84942433
"chl",31191826.4209743
"chn",2667335144.20594
"civ",34195166.5626755
"cmr",33833097.3931581
"cod",42279333.8960435
"cog",2166891.89526538
"col",54553080.0537644
"com",409855.530199292
"cri",14328914.6378924
"cyp",776166.389450552
"cze",11214826.683214
"deu",84016664.4163643
"dnk",12367834.8196096
"dom",11494976.0346689
"dza",34433029.8775729
"ecu",26129664.2306465
"egy",108243749.814492
"esp",105006081.648708
"est",1497615.59242161
"eth",41968449.7427636
"fin",4364249.85887416
"fra",131150019.473397
"gab",1592821.0740822
"gbr",35813477.4947307
"geo",2488457.57307426
"gha",45120537.1531319
"gin",12183188.566611
"gnq",441086.820919437
"grc",33734464.0469707
"gtm",25292585.4782239
"hkg",107780.092219727
"hnd",11472511.2431387
"hrv",6168615.81505688
"hun",20813678.934025
"idn",432506909.460537
"ind",1088544483.20767
"irl",2848602.00189449
"irn",116697968.376551
"irq",18031445.0723667
"isr",7966889.09371202
"ita",111084861.267077
"jam",2151617.33262222
"jor",4753786.0729235
"jpn",55029263.1083121
"kaz",25441487.3472063
"ken",28213980.1707647
"kgz",5570729.27632745
"khm",24513331.163763
"kor",36314533.6776517
"kwt",1294876.69127432
"lao",15491707.6941462
"lbn",4885695.95674744
"lka",16944447.5429074
"ltu",7115283.93267193
"lux",238542.337649214
"lva",3408916.91027563
"mar",34169549.7147406
"mdg",18796753.1298576
"mex",126040394.213229
"mli",18248145.2079284
"mng",919912.09205693
"moz",13886290.0165906
"mus",1172783.7791859
"mwi",18058453.705528
"mys",127466430.362487
"nam",1265533.16273194
"ner",14688609.7099518
"nga",197209081.220413
"nic",6508501.26212581
"nld",19200906.1507517
"nor",1626337.01357857
"npl",31549499.4420417
"nzl",7125717.01331389
"omn",2366930.20937195
"pak",97198288.3802554
"pan",2516318.123404
"per",37856823.9190274
"phl",115816667.104484
"pol",63766070.6363471
"pri",529322.459255553
"prt",12559129.3106669
"pry",17296356.6842421
"pse",2034019.5511228
"qat",185969.747060547
"rou",30295215.8271417
"rus",159534674.524632
"rwa",12922924.9217761
"sau",11952037.4673865
"sdn",22397721.2100594
"sen",7009913.38858622
"slv",5101969.3762276
"srb",14668173.3189965
"svk",4638240.02774652
"svn",1374705.00732055
"swe",7259382.6902818
"swz",1826392.06701568
"syr",23501540.7972246
"tcd",10999316.0191846
"tgo",5048751.13962048
"tha",166827706.131472
"tjk",6919817.44451698
"tto",217685.083138449
"tun",18162748.0337863
"tur",170954503.815714
"tza",46092942.0586025
"uga",28756663.1344997
"ukr",120109029.629786
"ury",11125638.3856168
"usa",750397525.094881
"uzb",36240742.0167777
"ven",15388155.4030626
"vnm",155126863.491638
"xac",16775921.4487732
"xca",1041020.36699504
"xcb",22843706.6335309
"xea",21860738.8992318
"xec",13214011.1911888
"xee",6592891.73613058
"xef",18806.9208200355
"xer",7602826.82282521
"xnf",5042502.22170324
"xoc",14325446.8376784
"xsa",652298.337378776
"xsc",325756.108953146
"xse",90911717.7040434
"xsm",2717470.55642964
"xsu",4501896.45197448
"xwf",12072284.1519928
"xws",6015794.10582476
"zaf",44586305.4366861
"zmb",7637807.60242035
"zwe",4184170.55562839
