"REG","QLAND"
"afg",7910
"alb",696
"are",76.7
"arg",40622.9
"arm",505.1
"aus",31993
"aut",1420.4
"aze",2127.7
"bel",825
"ben",3200
"bfa",6143
"bgd",8523
"bgr",3476
"bhr",4.6
"blr",5642
"bol",4651
"bra",62189
"bwa",287
"caf",1880
"can",37713
"che",428.2
"chl",1740
"chn",135961.4
"civ",7500
"cmr",7750
"cod",12686
"cog",602
"col",3453
"com",118
"cri",547
"cyp",114.3
"cze",2558.15
"deu",12034
"dnk",2424
"dom",1155
"dza",8430.5
"ecu",2530.9
"egy",3696
"esp",17539
"est",627.3
"eth",16488
"fin",2253.1
"fra",19324
"gab",495
"gbr",6258
"geo",495
"gha",5246
"gin",3700
"gnq",188.99
"grc",3676
"gtm",2087.16
"hkg",4.1
"hnd",1560
"hrv",985.4
"hun",4579
"idn",45500
"ind",169346
"irl",483.61
"irn",16768.8
"irq",4568.5
"isr",386.2
"ita",9560
"jam",215
"jor",302.9
"jpn",4549
"kaz",29459.7
"ken",6430
"kgz",1351.4
"khm",3955
"kor",1730
"kwt",16
"lao",1627.25
"lbn",258
"lka",2300
"ltu",2292.3
"lux",64.13
"lva",1184
"mar",9403
"mdg",3600
"mex",25210
"mli",7011
"mng",1323.1033
"moz",5950
"mus",80
"mwi",3735
"mys",7544.2
"nam",809
"ner",16000
"nga",41700
"nic",1828
"nld",1046.8
"nor",816.3
"npl",2326
"nzl",580.4
"omn",72.8
"pak",31063
"pan",744
"per",6303.16
"phl",10930
"pol",11323
"pri",84.1
"prt",1855.82
"pry",4445
"pse",123.77
"qat",19.5
"rou",9244
"rus",123442
"rwa",1400.73
"sau",3345
"sdn",20012.16
"sen",3365
"slv",874
"srb",2749.4
"svk",1412.5
"svn",235.67
"swe",2596.4
"swz",190
"syr",5731
"tcd",4685
"tgo",2850
"tha",21160
"tjk",874
"tto",47
"tun",5123
"tur",23790
"tza",13823.6
"uga",9100
"ukr",33412
"ury",2199
"usa",157707.5
"uzb",4457
"ven",3300
"vnm",10151.3
"xac",4990
"xca",110
"xcb",4834.9
"xea",2580
"xec",5893.7125
"xee",2109
"xef",123.27
"xer",1747
"xnf",2059
"xoc",1392.7
"xsa",112.6
"xsc",285.3
"xse",12431.1
"xsm",520.9
"xsu",2000
"xwf",3752.65
"xws",1501
"zaf",12413
"zmb",3836
"zwe",4100
