"REG","VCROP"
"afg",3754195048.93334
"alb",1427815051.54164
"are",688510597.195446
"arg",50598130259.4788
"arm",1155622212.7957
"aus",24143496979.9331
"aut",2310780620.96034
"aze",2703012945.90907
"bel",3531997545.01919
"ben",3570442610.96541
"bfa",2271674707.99257
"bgd",33809210733.7471
"bgr",4111032635.03807
"bhr",35281714.0614791
"blr",5073480028.60972
"bol",4009306235.57392
"bra",182012879387.073
"bwa",94551791.3456254
"caf",752819093.715991
"can",31637702233.1002
"che",915243201.864079
"chl",8622293449.27798
"chn",702703967719.128
"civ",11623109789.7794
"cmr",8537084227.49063
"cod",11416303880.4853
"cog",570868560.796595
"col",14184880168.9334
"com",136105677.710301
"cri",3628061445.79466
"cyp",184340179.892986
"cze",2837221992.07694
"deu",19885864299.166
"dnk",3138435817.29082
"dom",3839548317.32548
"dza",10758229374.0818
"ecu",6409589679.10172
"egy",29198519937.7329
"esp",35002245603.8982
"est",412060171.011643
"eth",14310294505.1911
"fin",953786819.096278
"fra",33092291877.701
"gab",377517552.986878
"gbr",10165431287.8953
"geo",587496115.573842
"gha",12901721828.3801
"gin",3324429995.20952
"gnq",101400416.741145
"grc",9079984227.83136
"gtm",8409453102.48207
"hkg",23677733.0452632
"hnd",3337898961.95045
"hrv",1680107662.34558
"hun",6539643897.03823
"idn",117898134892.638
"ind",303992963862.818
"irl",750448989.160138
"irn",29885180418.9714
"irq",2610241768.32799
"isr",2025117362.39247
"ita",29103772190.8081
"jam",522151273.463655
"jor",1334364635.47998
"jpn",13660853852.8692
"kaz",9049197624.97038
"ken",7211004780.78011
"kgz",1715073700.97636
"khm",6865682114.38528
"kor",8889809462.21792
"kwt",329658310.965928
"lao",5197168536.05455
"lbn",1692630943.72609
"lka",3998944259.01135
"ltu",1886591905.61411
"lux",52742647.6727758
"lva",984667512.122669
"mar",10559514808.9579
"mdg",4022190370.18583
"mex",40564225590.6537
"mli",5580048974.44685
"mng",143174394.448696
"moz",3391872927.65757
"mus",427956613.44944
"mwi",7061324351.24795
"mys",29349593424.1923
"nam",318941650.365134
"ner",4724434347.43044
"nga",61735846376.5035
"nic",1954978030.12102
"nld",5734941891.50652
"nor",450070955.875895
"npl",8082569761.3689
"nzl",2025364620.25442
"omn",940195478.471718
"pak",30472880671.636
"pan",771001289.530588
"per",11266145689.5079
"phl",25716193534.7256
"pol",16009356153.4277
"pri",109787495.13398
"prt",4723714925.07747
"pry",7423010787.85457
"pse",517480145.987248
"qat",62583084.0562467
"rou",12659850127.1658
"rus",52348011622.2695
"rwa",2768844097.30027
"sau",3197570782.06619
"sdn",7943870769.6562
"sen",2624504536.43027
"slv",1407809283.41498
"srb",4132454788.79817
"svk",1288731682.74567
"svn",373538342.367862
"swe",1864372900.9098
"swz",691362635.313621
"syr",5064727861.97526
"tcd",2078187653.77332
"tgo",1271661659.81587
"tha",40922878416.7258
"tjk",2077832175.49461
"tto",64277832.4513828
"tun",4547113814.80983
"tur",48710115366.9649
"tza",12626718627.9071
"uga",6414706669.65155
"ukr",34023498478.9411
"ury",2709345807.09896
"usa",209031073296.232
"uzb",11228720619.5569
"ven",3699014262.42675
"vnm",40375108897.6302
"xac",5176694081.35175
"xca",317577879.387776
"xcb",6351622016.8243
"xea",4554797004.41121
"xec",3686856669.00498
"xee",2621811517.78134
"xef",6040557.15660592
"xer",1883726051.02615
"xnf",1351223958.30384
"xoc",4136336131.31961
"xsa",200397135.161892
"xsc",106901280.282069
"xse",22212917752.719
"xsm",982641260.300804
"xsu",1132953692.88304
"xwf",2733026963.01056
"xws",1159334489.81779
"zaf",13835174466.6171
"zmb",2444226471.62937
"zwe",1153710758.5567
