"REG","QLAND"
"afg",7910
"alb",696.2
"are",83.8
"arg",34984.9
"arm",504.1
"aus",31074
"aut",1395.81
"aze",2341.3
"bel",859
"ben",3400
"bfa",6143
"bgd",8941.33
"bgr",3637.17
"bhr",4.6
"blr",5841
"bol",4488
"bra",63517.8
"bwa",261.6
"caf",1880
"can",38682
"che",423.0884
"chl",1742
"chn",135674
"civ",8000
"cmr",7750
"cod",15076
"cog",628
"col",9892
"com",116
"cri",579.5
"cyp",119.77
"cze",2543
"deu",11971
"dnk",2396.6
"dom",1232
"dza",8483.4261
"ecu",2464
"egy",3836.9688
"esp",16985.167
"est",686
"eth",17540.1
"fin",2245
"fra",19500.895
"gab",495
"gbr",6130.5864
"geo",444.8
"gha",5228
"gin",3800
"gnq",186.84
"grc",3225.5751
"gtm",2045
"hkg",4.1
"hnd",1590
"hrv",889
"hun",4499
"idn",51300
"ind",168895.136
"irl",462
"irn",16958
"irq",5250
"isr",483
"ita",9218.27
"jam",215
"jor",265
"jpn",4444
"kaz",29789
"ken",6330
"kgz",1363.8
"khm",4152
"kor",1620.7
"kwt",15.4
"lao",1581.9
"lbn",273.32
"lka",2320.2
"ltu",2139.2
"lux",63.592
"lva",1298
"mar",10046.5482
"mdg",3600
"mex",22926
"mli",6561
"mng",1327.71
"moz",5950
"mus",79
"mwi",3800
"mys",8286
"nam",810
"ner",17815
"nga",41500
"nic",1790
"nld",1075
"nor",804.506
"npl",2325.7
"nzl",558
"omn",100.92
"pak",32003
"pan",694
"per",5718.108
"phl",11085
"pol",11291
"pri",69.6
"prt",1738.6148
"pry",4738
"pse",167.2
"qat",22
"rou",8958
"rus",123442
"rwa",1401.7
"sau",3596.0681
"sdn",20905.92
"sen",3278
"slv",880.5
"srb",2803
"svk",1361
"svn",238.03
"swe",2558.43
"swz",190
"syr",5733
"tcd",5238
"tgo",2820
"tha",21910
"tjk",1032.1
"tto",47
"tun",4993
"tur",23347
"tza",14885.1
"uga",9100
"ukr",33668
"ury",2222.9
"usa",160436.8
"uzb",4418
"ven",3300
"vnm",11526.8
"xac",5215
"xca",122
"xcb",4911.6
"xea",2555
"xec",5917.275
"xee",1975
"xef",122.48
"xer",1638.6
"xnf",2054
"xoc",1395.2
"xsa",100
"xsc",418
"xse",12763.2
"xsm",556.82
"xsu",2000
"xwf",3855
"xws",1452
"zaf",12413
"zmb",3836
"zwe",4100
