"REG","POP"
"afg",36296.113
"alb",2884.169
"are",9487.203
"arg",43937.14
"arm",2944.791
"aus",24584.62
"aut",8819.901
"aze",9845.32
"bel",11419.748
"ben",11175.198
"bfa",19193.234
"bgd",159685.424
"bgr",7102.444
"bhr",1494.076
"blr",9450.231
"bol",11192.855
"bra",207833.823
"bwa",2205.08
"caf",4596.023
"can",36732.095
"che",8455.804
"chl",18470.439
"chn",1444696.337
"civ",24437.47
"cmr",24566.073
"cod",81398.764
"cog",5110.695
"col",48909.839
"com",813.892
"cri",4949.954
"cyp",1179.678
"cze",10641.034
"deu",82658.409
"dnk",5732.274
"dom",10513.104
"dza",41389.189
"ecu",16785.361
"egy",96442.591
"esp",46647.428
"est",1319.39
"eth",106399.924
"fin",5511.371
"fra",65718.643
"gab",2064.823
"gbr",66727.461
"geo",4008.716
"gha",29121.465
"gin",12067.519
"gnq",1262.002
"grc",10569.45
"gtm",16914.97
"hkg",7306.322
"hnd",9429.013
"hrv",4182.857
"hun",9729.823
"idn",264650.963
"ind",1338676.785
"irl",4753.279
"irn",80673.883
"irq",37552.781
"isr",8243.848
"ita",60673.701
"jam",2920.848
"jor",9785.843
"jpn",127502.725
"kaz",18080.019
"ken",50221.142
"kgz",6189.733
"khm",16009.409
"kor",51096.415
"kwt",4056.099
"lao",6953.035
"lbn",6819.373
"lka",21128.032
"ltu",2845.414
"lux",591.91
"lva",1951.097
"mar",35581.255
"mdg",25570.512
"mex",124777.324
"mli",18512.43
"mng",3113.786
"moz",28649.018
"mus",1264.499
"mwi",17670.196
"mys",31104.646
"nam",2402.633
"ner",21602.382
"nga",190873.244
"nic",6384.846
"nld",17021.347
"nor",5296.326
"npl",27632.681
"nzl",4702.034
"omn",4665.928
"pak",207906.209
"pan",4106.769
"per",31444.298
"phl",105172.925
"pol",37953.18
"pri",3163.667
"prt",10288.527
"pry",6867.061
"pse",4747.227
"qat",2724.728
"rou",19653.969
"rus",145530.082
"rwa",11980.961
"sau",33101.179
"sdn",40813.397
"sen",15419.355
"slv",6388.126
"srb",8829.628
"svk",5447.9
"svn",2076.394
"swe",9904.896
"swz",1124.805
"syr",17095.678
"tcd",15016.753
"tgo",7698.474
"tha",69209.81
"tjk",8880.268
"tto",1384.059
"tun",11433.443
"tur",81116.45
"tza",54660.339
"uga",41166.588
"ukr",44487.709
"ury",3436.641
"usa",325084.756
"uzb",31959.785
"ven",29402.484
"vnm",94600.648
"xac",29816.766
"xca",375.769
"xcb",22321.62
"xea",26052.41
"xec",40683.953
"xee",4059.684
"xef",372.193
"xer",6061.084
"xnf",7133.339
"xoc",10237.044
"xsa",745.563
"xsc",2091.534
"xse",54625.781
"xsm",1620.909
"xsu",5757.667
"xwf",20515.253
"xws",27834.819
"zaf",57009.756
"zmb",16853.599
"zwe",14236.595
