"REG","QCROP"
"afg",17109734.4756947
"alb",6507263.4995933
"are",3137885.31180955
"arg",230600851.160429
"arm",5266745.32288007
"aus",110033926.649272
"aut",10531376.8573228
"aze",12318974.6899298
"bel",16097069.9114991
"ben",16272283.2026751
"bfa",10353151.7575112
"bgd",154085392.726618
"bgr",18736020.8752078
"bhr",160796.322932344
"blr",23122372.4462361
"bol",18272403.0659801
"bra",829523239.170611
"bwa",430919.550806126
"caf",3430971.12265741
"can",144188748.206686
"che",4171218.58626613
"chl",39296080.6686332
"chn",3202571562.20679
"civ",52972293.579013
"cmr",38907739.8550475
"cod",52029776.1685142
"cog",2601732.02735614
"col",64647555.6268591
"com",620301.283205672
"cri",16534880.8972215
"cyp",840129.90536198
"cze",12930632.07966
"deu",90629776.4350569
"dnk",14303413.3290737
"dom",17498731.7813188
"dza",49030603.2637962
"ecu",29211688.8116249
"egy",133072181.0418
"esp",159522646.141123
"est",1877963.19107653
"eth",65219131.1483346
"fin",4346881.02467969
"fra",150818036.84668
"gab",1720535.29646913
"gbr",46328927.4797336
"geo",2677512.06635534
"gha",58799564.7230893
"gin",15151081.3262702
"gnq",462132.143789044
"grc",41382005.2386012
"gtm",38326061.3244258
"hkg",107911.208690646
"hnd",15212466.1082529
"hrv",7657086.43760546
"hun",29804410.58216
"idn",537320452.693531
"ind",1385447166.80346
"irl",3420169.3771163
"irn",136201634.454798
"irq",11896170.2818688
"isr",9229467.27621385
"ita",132640368.423936
"jam",2379703.11309406
"jor",6081363.4638686
"jpn",62259307.011838
"kaz",41241695.3736384
"ken",32864136.1181187
"kgz",7816444.0705578
"khm",31290328.9361682
"kor",40515284.2235202
"kwt",1502416.92155435
"lao",23686082.5072457
"lbn",7714161.26094095
"lka",18225178.3839063
"ltu",8598137.85600289
"lux",240374.483867776
"lva",4487619.70533431
"mar",48124962.1339652
"mdg",18331122.4770084
"mex",184871355.915687
"mli",25431059.1404366
"mng",652516.941929158
"moz",15458452.3209595
"mus",1950411.18743094
"mwi",32181967.9376906
"mys",133760698.075664
"nam",1453575.76787007
"ner",21531597.6337867
"nga",281360964.298957
"nic",8909807.44612379
"nld",26136983.2196369
"nor",2051197.2473158
"npl",36836291.3209831
"nzl",9230594.15329667
"omn",4284938.52403071
"pak",138880076.87543
"pan",3513836.43426695
"per",51345430.5915034
"phl",117201487.234859
"pol",72962600.3288784
"pri",500356.232430633
"prt",21528318.8682258
"pry",33830352.9611479
"pse",2358414.46139064
"qat",285222.247889517
"rou",57697235.0542734
"rus",238575931.061997
"rwa",12618999.9965139
"sau",14572920.7820292
"sdn",36204171.0157461
"sen",11961172.8115556
"slv",6416087.26176658
"srb",18833652.2869899
"svk",5873391.39676789
"svn",1702400.05409978
"swe",8496874.79805043
"swz",3150883.46834657
"syr",23082484.4688533
"tcd",9471334.99545557
"tgo",5795594.81027835
"tha",186505915.266777
"tjk",9469714.90409609
"tto",292946.059429924
"tun",20723459.7531805
"tur",221996228.045215
"tza",57546238.3298865
"uga",29235009.4831619
"ukr",155062008.585378
"ury",12347836.6888452
"usa",952658589.831174
"uzb",51174865.9295053
"ven",16858248.1802355
"vnm",184009457.063768
"xac",23592770.2315292
"xca",1447360.38507719
"xcb",28947501.3368624
"xea",20758475.8704286
"xec",16802839.9788504
"xee",11948899.385849
"xef",27529.8240202383
"xer",8585076.73093961
"xnf",6158199.78515623
"xoc",18851341.4957512
"xsa",913309.438539709
"xsc",487202.315515733
"xse",101235316.685917
"xsm",4478385.06776191
"xsu",5163433.60049826
"xwf",12455763.4972405
"xws",5283664.01605403
"zaf",63053772.769741
"zmb",11139555.9854901
"zwe",5258033.87500229
