"REG","INC"
"afg",19505.854911
"alb",12211.706325
"are",377576.654579
"arg",649285.582294
"arm",11367.422953
"aus",1313980.452319
"aut",398208.774353
"aze",51529.236787
"bel",475583.361607
"ben",12426.536379
"bfa",13304.781211
"bgd",223472.202499
"bgr",53771.026978
"bhr",33535.449059
"blr",56465.321235
"bol",35850.757954
"bra",1766232.928571
"bwa",15477.991965
"caf",1855.400064
"can",1619489.882673
"che",727865.237631
"chl",251031.528291
"chn",12640250.553506
"civ",52678.645517
"cmr",33489.719589
"cod",40264.232077
"cog",10064.242083
"col",303680.59157
"com",1048.0292
"cri",61260.269011
"cyp",22350.449963
"cze",202769.49032
"deu",3523040.623051
"dnk",321315.569972
"dom",79435.111972
"dza",173517.22645
"ecu",100395.440274
"egy",345418.884605
"esp",1267962.775991
"est",24970.731682
"eth",74337.68328
"fin",248725.970174
"fra",2521399.210024
"gab",14742.140794
"gbr",3088029.826001
"geo",16133.533587
"gha",55926.198443
"gin",10749.606174
"gnq",11333.022307
"grc",196777.790216
"gtm",65817.809507
"hkg",328080.982454
"hnd",22852.116285
"hrv",53708.294854
"hun",133416.713057
"idn",950021.694198
"ind",2481926.350075
"irl",324004.099584
"irn",466510.912215
"irq",186314.766363
"isr",327190.469448
"ita",1890662.182181
"jam",14536.467508
"jor",40178.123427
"jpn",4553466.417291
"kaz",194059.76063
"ken",75863.16435
"kgz",7297.999837
"khm",20644.054492
"kor",1556645.736778
"kwt",112380.97626
"lao",16462.60334
"lbn",51255.733475
"lka",87234.039013
"ltu",44280.625712
"lux",63867.017852
"lva",28821.616715
"mar",110480.413517
"mdg",12238.318932
"mex",1228111.025257
"mli",15220.397809
"mng",12521.31027
"moz",17180.57727
"mus",12604.085488
"mwi",9790.068337
"mys",333060.794366
"nam",11222.512349
"ner",10743.803974
"nga",490549.307396
"nic",13956.5508
"nld",804801.712034
"nor",398994.853777
"npl",25903.532699
"nzl",192951.805541
"omn",72135.149553
"pak",297445.227529
"pan",59945.370839
"per",202276.3034
"phl",351113.33941
"pol",516630.057037
"pri",99124.174302
"prt",210468.77708
"pry",39573.101424
"pse",15426.9
"qat",164199.531382
"rou",199710.07739
"rus",1391065.994035
"rwa",9394.054637
"sau",660267.740302
"sdn",90997.467503
"sen",20289.661697
"slv",24575.566296
"srb",41840.953159
"svk",93004.273864
"svn",46606.733284
"swe",528801.679621
"swz",4186.470203
"syr",18705.238648
"tcd",10679.6561
"tgo",6206.084774
"tha",432422.114991
"tjk",9623.186281
"tto",22967.294232
"tun",44550.785693
"tur",960031.367821
"tza",55410.132054
"uga",31597.340119
"ukr",95552.670925
"ury",59809.975605
"usa",18927121.082358
"uzb",90709.537891
"ven",240898.16046
"vnm",219224.580572
"xac",113029.18212
"xca",1768.012333
"xcb",104160.625087
"xea",65547.803119
"xec",14837.347252
"xee",8466.052221
"xef",26020.815668
"xer",32085.15274
"xnf",63261.062628
"xoc",31064.919364
"xsa",2267.207549
"xsc",2367.640503
"xse",73427.222085
"xsm",9559.499512
"xsu",34529.241667
"xwf",16525.193925
"xws",20257.337241
"zaf",323190.254191
"zmb",22405.314391
"zwe",21060.186088
