"REG","QCROP"
"afg",22373973.2189208
"alb",7276914.0951712
"are",4397179.31437064
"arg",229002147.641548
"arm",4400999.30185446
"aus",73339138.1321296
"aut",11584191.2800626
"aze",15914972.0820167
"bel",17268499.1369105
"ben",17152389.1371916
"bfa",14840023.7312661
"bgd",149714354.97891
"bgr",19526118.1596927
"bhr",218419.070812904
"blr",23261008.2428719
"bol",20555313.6574685
"bra",726752089.029676
"bwa",762705.164875727
"caf",3425337.365569
"can",137885870.126064
"che",4660869.78361472
"chl",47006587.2095175
"chn",3579439577.89876
"civ",52570822.9167156
"cmr",40496427.7329313
"cod",54393668.0397132
"cog",2676218.29366366
"col",72060981.0754963
"com",571624.970987542
"cri",17174105.2495044
"cyp",809690.788530913
"cze",12924534.7869981
"deu",88748709.7484941
"dnk",14455639.0270516
"dom",19419662.9017334
"dza",63303406.7162526
"ecu",30201770.4718363
"egy",148256152.910598
"esp",169895818.809818
"est",2216118.92588666
"eth",69733660.958498
"fin",5213753.65740534
"fra",150502601.033499
"gab",1680712.0176998
"gbr",47842766.2027575
"geo",3767736.34638581
"gha",57714460.7768123
"gin",19048890.9781199
"gnq",748409.503525777
"grc",40328184.735879
"gtm",39686624.4094491
"hkg",122813.936347876
"hnd",13945253.8751624
"hrv",6160812.97859034
"hun",28993370.1198744
"idn",473330056.279071
"ind",1477367024.88531
"irl",3265943.48817593
"irn",163192436.796202
"irq",22319625.4043383
"isr",9984223.24625243
"ita",135612918.967372
"jam",2437167.80082999
"jor",6226951.93692957
"jpn",62102806.7269291
"kaz",41999802.3676846
"ken",36480945.1744655
"kgz",8676963.05156119
"khm",29383098.9386233
"kor",42815685.1076288
"kwt",2206274.11008298
"lao",32084055.3635696
"lbn",7928944.99511854
"lka",18059907.7557257
"ltu",8182999.40543885
"lux",260461.828343612
"lva",4579466.6702501
"mar",52388166.2330731
"mdg",21284643.0141037
"mex",195396410.493805
"mli",29317606.5626727
"mng",1014708.16733304
"moz",19621115.3321146
"mus",1422259.43182187
"mwi",47893077.6541099
"mys",96455313.4344186
"nam",2427948.02854442
"ner",27437237.3803428
"nga",287619010.278842
"nic",8899582.94553396
"nld",28221487.3527336
"nor",2244490.43226527
"npl",38356786.0385672
"nzl",12138058.4560553
"omn",5711469.02352058
"pak",133577781.512026
"pan",3466876.0348774
"per",61393996.4963105
"phl",106536799.370599
"pol",72117572.577998
"pri",571493.691354871
"prt",22911915.6373852
"pry",28342609.5151119
"pse",2377691.54020178
"qat",420803.81264611
"rou",58928920.1984816
"rus",249286940.017864
"rwa",14690422.3645365
"sau",24569543.6179493
"sdn",53569530.881173
"sen",17257527.7291435
"slv",5761437.24998063
"srb",24830565.0240843
"svk",6402206.47316428
"svn",1961427.59849343
"swe",9006769.12538957
"swz",2837186.83576829
"syr",28865009.2827545
"tcd",12170410.7097325
"tgo",5626245.65557019
"tha",175157834.006608
"tjk",12215217.4634708
"tto",388480.210310271
"tun",28190142.9446165
"tur",244103011.853775
"tza",69602514.1508338
"uga",37652488.884618
"ukr",175028785.803448
"ury",10864726.1763375
"usa",900775472.499356
"uzb",55698185.0365883
"ven",16734609.6339225
"vnm",177589977.08255
"xac",29384610.0131189
"xca",1226747.5291915
"xcb",26237319.1221561
"xea",25091433.7434484
"xec",23793908.2448771
"xee",13588127.4825596
"xef",29392.3020391578
"xer",10916663.0942784
"xnf",7023138.81843093
"xoc",21505675.2799776
"xsa",909832.598266466
"xsc",308611.59158725
"xse",98674378.077507
"xsm",4146618.68164335
"xsu",6221255.6907383
"xwf",11939179.0650337
"xws",6886547.05983066
"zaf",58050514.3095441
"zmb",8970091.77450906
"zwe",3603220.26930637
