"REG","INC"
"afg",20509.889424
"alb",12970.996112
"are",395103.712644
"arg",619419.732316
"arm",12871.303746
"aus",1338551.384112
"aut",414257.026093
"aze",53599.560703
"bel",494644.115984
"ben",14169.078844
"bfa",15009.69751
"bgd",260697.102061
"bgr",57443.890274
"bhr",34791.094278
"blr",59086.421938
"bol",38193.230057
"bra",1823105.415315
"bwa",16660.555863
"caf",1982.908416
"can",1689713.990853
"che",758167.874592
"chl",262807.038813
"chn",14296365.489593
"civ",59817.368129
"cmr",36146.911716
"cod",44487.536686
"cog",9399.156086
"col",321687.573862
"com",1130.088969
"cri",63875.305731
"cyp",24870.906641
"cze",215594.735505
"deu",3598891.541091
"dnk",334638.192401
"dom",89275.108374
"dza",177004.228632
"ecu",101702.140245
"egy",383992.319124
"esp",1324028.319784
"est",27068.147757
"eth",86046.122604
"fin",254946.725735
"fra",2615760.319963
"gab",15452.812668
"gbr",3191493.407971
"geo",17757.577169
"gha",63258.872219
"gin",12078.652987
"gnq",9990.896592
"grc",203669.149659
"gtm",70633.972046
"hkg",333204.071611
"hnd",24360.372249
"hrv",57190.161634
"hun",146968.695014
"idn",1049318.963647
"ind",2750931.860744
"irl",370632.118085
"irn",425060.619008
"irq",202613.80774
"isr",353062.628961
"ita",1915994.931005
"jam",14943.36719
"jor",41755.234618
"jpn",4591290.538389
"kaz",211106.940302
"ken",84125.138668
"kgz",7920.623085
"khm",23744.443679
"kor",1637850.078349
"kwt",114481.113793
"lao",18445.86533
"lbn",46777.216084
"lka",92119.991222
"ltu",48155.059559
"lux",67286.460381
"lva",30716.038079
"mar",118961.922446
"mdg",13186.360202
"mex",1254383.602058
"mli",17273.775283
"mng",14121.442863
"moz",18183.601806
"mus",13471.928611
"mwi",10783.894854
"mys",363962.122204
"nam",11278.091696
"ner",12202.8781
"nga",510979.231486
"nic",12991.589354
"nld",839912.581384
"nor",406895.980159
"npl",29733.851125
"nzl",205260.790616
"omn",72197.508767
"pak",317918.261038
"pan",63989.964214
"per",214940.035565
"phl",396224.439739
"pol",570115.134633
"pri",96423.791493
"prt",222272.974069
"pry",40677.000527
"pse",15829
"qat",167515.127917
"rou",217384.788217
"rus",1459190.160608
"rwa",11165.665408
"sau",678580.856765
"sdn",94752.515415
"sen",22498.198301
"slv",25831.233211
"srb",45615.664899
"svk",99048.285216
"svn",50249.892176
"swe",549821.281947
"swz",4381.925966
"syr",19692.689199
"tcd",11248.967896
"tgo",6683.562917
"tha",460749.930331
"tjk",11122.132655
"tto",22765.948868
"tun",46214.598219
"tur",997433.987566
"tza",63411.003817
"uga",35974.897909
"ukr",101989.557189
"ury",60306.415837
"usa",19925439.113221
"uzb",101196.210505
"ven",139965.924236
"vnm",251208.94947
"xac",110072.650046
"xca",1839.54568
"xcb",106010.039757
"xea",66731.169706
"xec",16870.078354
"xee",9155.470197
"xef",27654.569502
"xer",34288.599146
"xnf",49192.224144
"xoc",32665.992009
"xsa",2464.151366
"xsc",2399.153434
"xse",81008.641312
"xsm",10323.822102
"xsu",32285.944654
"xwf",17808.58232
"xws",20380.36784
"zaf",326230.911853
"zmb",23645.21313
"zwe",20244.906403
