"REG","QLAND"
"afg",8010
"alb",696
"are",90.4
"arg",33700.7597
"arm",505
"aus",30920
"aut",1392.4
"aze",2356.3
"bel",880.9587
"ben",3400
"bfa",6143
"bgd",9245
"bgr",3629
"bhr",4.6
"blr",5820
"bol",4787
"bra",63518
"bwa",262
"caf",1880
"can",38815
"che",423.8124
"chl",1656
"chn",135671.2
"civ",8000
"cmr",7750
"cod",15530
"cog",628
"col",9872
"com",116
"cri",575.5
"cyp",123.634
"cze",2531.821
"deu",11913
"dnk",2419.278
"dom",1232
"dza",8517.017
"ecu",2429
"egy",3922
"esp",16759.8066
"est",697
"eth",18189.55
"fin",2250
"fra",19112.576
"gab",495
"gbr",6131.5423
"geo",432.6
"gha",5221
"gin",3800
"gnq",185.98
"grc",3220.1601
"gtm",2045
"hkg",4
"hnd",1596
"hrv",897
"hun",4488
"idn",51300
"ind",168669.0764
"irl",444
"irn",17536
"irq",5250
"isr",478.4
"ita",9329.07
"jam",215
"jor",294.5
"jpn",4397
"kaz",29510.3
"ken",6330
"kgz",1364
"khm",4248
"kor",1581
"kwt",14
"lao",1429.7
"lbn",269.67
"lka",2371.5728
"ltu",2247
"lux",63.515
"lva",1328
"mar",8611.907
"mdg",3600
"mex",22129
"mli",6561
"mng",1333.8
"moz",5950
"mus",79
"mwi",3800
"mys",8286
"nam",810
"ner",17815
"nga",41500
"nic",1790
"nld",1048.8
"nor",805.146
"npl",2325.7
"nzl",620
"omn",110.4
"pak",31323
"pan",674
"per",5678.29
"phl",11143
"pol",11395
"pri",65.2
"prt",1843.4951
"pry",4824
"pse",167.9
"qat",24
"rou",9378
"rus",123442
"rwa",1401.7
"sau",3595.9169
"sdn",21210.84
"sen",3278
"slv",881
"srb",2785
"svk",1367
"svn",234.46
"swe",2543.5
"swz",190
"syr",5733
"tcd",5238
"tgo",2820
"tha",22110
"tjk",1043.2
"tto",47
"tun",4981
"tur",23099
"tza",15309.7
"uga",9100
"ukr",33777
"ury",2127.3
"usa",160436.8
"uzb",4437.3
"ven",3300
"vnm",11746
"xac",5215
"xca",122
"xcb",4911.6
"xea",2540
"xec",5846.7
"xee",1921.7
"xef",122.48
"xer",1596
"xnf",2054
"xoc",1393.8
"xsa",100
"xsc",142
"xse",12691.8
"xsm",545.82
"xsu",2000
"xwf",3855
"xws",1452
"zaf",12413
"zmb",3836
"zwe",4100
