"REG","VCROP"
"afg",5162403459.9964
"alb",1679020804.01347
"are",1014572310.63167
"arg",52838245034.2611
"arm",1015453706.01061
"aus",16921724931.9976
"aut",2672849768.80561
"aze",3672101782.64047
"bel",3984404505.22858
"ben",3957614151.16745
"bfa",3424076229.42583
"bgd",34543971988.8756
"bgr",4505310655.44728
"bhr",50396384.9362345
"blr",5367071295.78831
"bol",4742779537.11366
"bra",167685348608.251
"bwa",175980892.78045
"caf",790336758.458015
"can",31814755745.8165
"che",1075414279.89096
"chl",10845948820.9193
"chn",825893151877.289
"civ",12129799006.4011
"cmr",9343843250.38814
"cod",12550388674.4911
"cog",617490619.289359
"col",16626812519.8382
"com",131892476.100352
"cri",3962624764.71581
"cyp",186822004.627429
"cze",2982110618.01122
"deu",20477214386.2403
"dnk",3335386173.90503
"dom",4480747964.38448
"dza",14606155226.1617
"ecu",6968530929.05172
"egy",34207517335.5526
"esp",39200492209.449
"est",511330727.842562
"eth",16089824059.7666
"fin",1202982575.20916
"fra",34725845995.7729
"gab",387794937.025024
"gbr",11038882516.0499
"geo",869339341.770896
"gha",13316603586.2634
"gin",4395198820.18002
"gnq",172682418.66082
"grc",9305024117.92541
"gtm",9156995280.28663
"hkg",28337170.3243968
"hnd",3217623716.23769
"hrv",1421499968.99833
"hun",6689713657.88624
"idn",109212641686.233
"ind",340876632251.569
"irl",753559405.767687
"irn",37653803913.9831
"irq",5149863651.20612
"isr",2303685095.51278
"ita",31290311973.0801
"jam",562333894.140747
"jor",1436760378.22606
"jpn",14329137752.4072
"kaz",9690720684.27898
"ken",8417340798.16171
"kgz",2002057642.66133
"khm",6779636774.47727
"kor",9878971373.52524
"kwt",509059208.579056
"lao",7402835285.39938
"lbn",1829465543.57659
"lka",4167008218.57294
"ltu",1888084160.57555
"lux",60097016.7739795
"lva",1056631933.54701
"mar",12087654167.5564
"mdg",4911059545.19851
"mex",45084308260.0573
"mli",6764525552.84031
"mng",234126183.251924
"moz",4527229593.4384
"mus",328161517.849707
"mwi",11050491004.5377
"mys",22255378556.8935
"nam",560206592.749901
"ner",6330663212.97116
"nga",66363062085.3962
"nic",2053423294.15577
"nld",6511615193.71049
"nor",517876957.305749
"npl",8850158307.70677
"nzl",2800644943.92923
"omn",1317821701.14294
"pak",30820739557.9239
"pan",799921080.744591
"per",14165592174.1935
"phl",24581505318.9846
"pol",16639870020.4199
"pri",131862185.618492
"prt",5286524275.51658
"pry",6539562016.74572
"pse",548610786.016389
"qat",97093128.5707839
"rou",13596818881.9154
"rus",57518606511.5978
"rwa",3389558327.50164
"sau",5668992974.23722
"sdn",12360233422.3537
"sen",3981873044.55043
"slv",1329350996.48281
"srb",5729219103.81107
"svk",1477197300.86763
"svn",452565153.355597
"swe",2078154632.67738
"swz",654631298.353405
"syr",6660096637.10982
"tcd",2808109661.29023
"tgo",1298157897.79095
"tha",40414610291.7701
"tjk",2818448036.96747
"tto",89635022.0062793
"tun",6504383019.10601
"tur",56322505647.9374
"tza",16059564224.9564
"uga",8687654043.0937
"ukr",40384834673.2879
"ury",2506845764.75699
"usa",207838204256.814
"uzb",12851383182.3685
"ven",3861218829.1525
"vnm",40975784818.4219
"xac",6779985428.51955
"xca",283050561.796716
"xcb",6053803036.76707
"xea",5789410003.57986
"xec",5490028661.79864
"xee",3135223039.93448
"xef",6781760.2291528
"xer",2518829301.26417
"xnf",1620466592.21181
"xoc",4962058879.24408
"xsa",209927977.804868
"xsc",71206733.4941531
"xse",22767388957.5204
"xsm",956759821.778039
"xsu",1435446068.92753
"xwf",2754756998.75803
"xws",1588950430.09319
"zaf",13394142068.2819
"zmb",2069691974.69364
"zwe",831380130.98478
