"REG","VCROP"
"afg",3823684460.28253
"alb",1357246140.29895
"are",744120741.883872
"arg",44461305328.9647
"arm",1166407627.93073
"aus",16663739855.7105
"aut",2313427245.12132
"aze",2586967868.48168
"bel",3121179511.6647
"ben",3679458840.45688
"bfa",2390989667.60342
"bgd",33834369598.303
"bgr",3670665812.60025
"bhr",40596624.5033237
"blr",4752698116.80082
"bol",3543144607.15086
"bra",112515022032.01
"bwa",90172671.5886271
"caf",830089620.288294
"can",31092031300.2521
"che",880316504.486038
"chl",8235262772.67119
"chn",723280684132.055
"civ",11778907213.0013
"cmr",9238587320.30709
"cod",10697433393.7808
"cog",519194933.058089
"col",13611017635.9193
"com",145442889.808855
"cri",3255525471.32585
"cyp",171084293.347957
"cze",3175730981.97141
"deu",19692059570.2605
"dnk",2786696390.10183
"dom",3165862329.57956
"dza",10411684676.8111
"ecu",6058979478.54843
"egy",27905091922.034
"esp",35958528419.32
"est",332495524.684806
"eth",13568248381.2655
"fin",975149071.770426
"fra",29072607233.9446
"gab",396241947.201554
"gbr",9366538414.8161
"geo",661974771.219847
"gha",13273027670.7705
"gin",3410998537.12558
"gnq",106833402.246908
"grc",8420691947.72895
"gtm",6705017345.6984
"hkg",22678558.8032617
"hnd",2704975698.64743
"hrv",1774554055.77465
"hun",6394060636.45113
"idn",108482578607.15
"ind",273968948699.053
"irl",733106228.591746
"irn",31133882572.8319
"irq",2706592451.5578
"isr",1979365227.94284
"ita",29613715468.4497
"jam",466448055.372172
"jor",1612158641.77266
"jpn",14260219067.4678
"kaz",8755239731.0127
"ken",5988735806.62586
"kgz",1714414857.612
"khm",6948337807.02814
"kor",9527307028.74863
"kwt",307591068.012299
"lao",5748856558.67054
"lbn",1636422026.1267
"lka",4513254667.12354
"ltu",1897857765.35256
"lux",49854682.6359125
"lva",996042840.035859
"mar",8502523059.47108
"mdg",4321772634.79408
"mex",33017451730.3101
"mli",5591406632.12357
"mng",221636597.533561
"moz",2692868169.86738
"mus",166234048.772242
"mwi",6057235962.36423
"mys",27231655446.0205
"nam",276977083.356545
"ner",4471542398.98044
"nga",66421846089.7743
"nic",1483018197.39526
"nld",5358676660.51157
"nor",453326721.155065
"npl",7608496776.01372
"nzl",2080882213.76686
"omn",775148355.971622
"pak",24715239140.4585
"pan",580113490.273988
"per",10775862744.5922
"phl",23357297437.6204
"pol",15653937588.37
"pri",108153640.438005
"prt",3711623941.10528
"pry",6253051595.36229
"pse",514031013.842157
"qat",60881843.5300723
"rou",9785447559.97676
"rus",48841642142.8653
"rwa",2451912717.89082
"sau",2948934601.45443
"sdn",7977362840.4293
"sen",2085457660.88049
"slv",856154986.642227
"srb",4821913830.63518
"svk",1532178679.72181
"svn",387432127.294591
"swe",1768933788.99156
"swz",279023825.544983
"syr",4647742753.86481
"tcd",2263527513.04554
"tgo",1300955436.55527
"tha",34597323481.9677
"tjk",1959785850.78016
"tto",59454480.6294288
"tun",4500614384.37704
"tur",44727066015.9374
"tza",12023321651.4441
"uga",5383298694.58994
"ukr",33105459866.942
"ury",2352080319.46155
"usa",207904989113.733
"uzb",12295363419.1164
"ven",3358514667.2213
"vnm",40796895173.9516
"xac",5349973222.14568
"xca",174759459.459553
"xcb",5018843177.14687
"xea",4897945050.38817
"xec",3473040134.65842
"xee",2166587891.36656
"xef",6562671.31465552
"xer",2322034390.07162
"xnf",1337432361.51503
"xoc",3956820205.12919
"xsa",190441281.912995
"xsc",59311924.5697574
"xse",23222435868.1326
"xsm",789966499.176047
"xsu",1246161068.32682
"xwf",2950612059.41071
"xws",1134938259.45554
"zaf",9299398017.78489
"zmb",1659594544.95815
"zwe",687610243.099734
