"REG","INC"
"afg",19002.848892
"alb",11764.400523
"are",368822.46506
"arg",631487.099619
"arm",10571.472636
"aus",1276337.608825
"aut",389413.586442
"aze",51450.201741
"bel",468003.666521
"ben",11759.584272
"bfa",12527.630951
"bgd",208299.298158
"bgr",52325.663115
"bhr",32155.468615
"blr",55063.942761
"bol",34407.300469
"bra",1743173.031974
"bwa",15041.199892
"caf",1775.039105
"can",1571711.729119
"che",716509.848991
"chl",248092.758651
"chn",11819150.944352
"civ",49067.085551
"cmr",32341.878095
"cod",38827.767375
"cog",10553.18016
"col",299607.839838
"com",992.487707
"cri",58814.921625
"cyp",21114.729306
"cze",192803.983942
"deu",3431079.755885
"dnk",312497.708494
"dom",75893.391521
"dza",171290.450592
"ecu",98072.699669
"egy",331555.343377
"esp",1231346.936295
"est",23603.600591
"eth",67848.521961
"fin",241031.264864
"fra",2464917.595623
"gab",14672.793841
"gbr",3023494.747531
"geo",15388.207299
"gha",51721.7886
"gin",9745.789749
"gnq",12013.91045
"grc",194651.91216
"gtm",63851.28489
"hkg",316097.552539
"hnd",21796.551216
"hrv",51935.174204
"hun",127954.885307
"idn",904181.621813
"ind",2324001.535108
"irl",297415.147851
"irn",453987.639368
"irq",189768.033763
"isr",313470.012349
"ita",1859645.909744
"jam",14392.96486
"jor",39356.512854
"jpn",4478437.728053
"kaz",186416.676878
"ken",73074.983652
"kgz",6967.733635
"khm",19292.235658
"kor",1508967.849305
"kwt",117938.646691
"lao",15401.100387
"lbn",50858.016665
"lka",84220.490045
"ltu",42462.143259
"lux",63036.706136
"lva",27897.352625
"mar",104428.513307
"mdg",11775.165455
"mex",1202696.495206
"mli",14260.887961
"mng",11886.891885
"moz",16560.978471
"mus",12141.031482
"mwi",8859.754432
"mys",314764.412856
"nam",11338.992212
"ner",10232.061723
"nga",486585.851394
"nic",13338.803142
"nld",782037.366674
"nor",389935.641211
"npl",23769.663596
"nzl",184813.427273
"omn",71886.150505
"pak",281793.627648
"pan",56771.111631
"per",197306.477905
"phl",328355.086684
"pol",492823.451386
"pri",102069.864411
"prt",203339.009315
"pry",37756.961788
"pse",15211
"qat",166695.978168
"rou",186089.373388
"rus",1366122.981624
"rwa",9035.09284
"sau",665200.390234
"sdn",86934.082434
"sen",18892.779493
"slv",24034.064446
"srb",40979.898305
"svk",90312.783951
"svn",44465.548409
"swe",515562.425649
"swz",4103.313315
"syr",18842.35088
"tcd",10942.270594
"tgo",5966.935225
"tha",415081.340559
"tjk",8846.22731
"tto",23600.061632
"tun",43712.3583
"tur",893035.841328
"tza",51883.919053
"uga",29511.214734
"ukr",93253.018273
"ury",58852.00968
"usa",18509604.068838
"uzb",86835.351656
"ven",285665.867221
"vnm",205242.966193
"xac",113196.073416
"xca",1731.10364
"xcb",102209.523294
"xea",61669.04824
"xec",14984.437804
"xee",8086.720854
"xef",25036.156626
"xer",31246.061432
"xnf",47801.661044
"xoc",29885.797812
"xsa",2166.431644
"xsc",2445.478334
"xse",69154.118848
"xsm",9317.247969
"xsu",34365.000102
"xwf",15935.874562
"xws",22652.374454
"zaf",318682.449102
"zmb",21641.900748
"zwe",20114.015731
