"REG","QLAND"
"afg",7910
"alb",703.5
"are",83.8
"arg",36336.5
"arm",504.4
"aus",30378
"aut",1411.36
"aze",2240
"bel",872.4
"ben",3400
"bfa",6143
"bgd",8902.21
"bgr",3637
"bhr",4.6
"blr",5795.1
"bol",4685
"bra",63253
"bwa",261.6
"caf",1880
"can",38708
"che",423.7434
"chl",1726.8
"chn",135714.9
"civ",8000
"cmr",7750
"cod",14472
"cog",627
"col",3726.2
"com",117
"cri",577.5
"cyp",108.01
"cze",2539
"deu",11963
"dnk",2399.5
"dom",1232
"dza",8417.6
"ecu",2415
"egy",3733.7654
"esp",17033.01
"est",699
"eth",17332
"fin",2249
"fra",19385.536
"gab",495
"gbr",6072.6528
"geo",454
"gha",5231.6
"gin",3800
"gnq",187.27
"grc",3254
"gtm",2045
"hkg",4
"hnd",1560
"hrv",946
"hun",4499
"idn",49200
"ind",169317
"irl",462
"irn",16477
"irq",5250
"isr",392
"ita",9149
"jam",215
"jor",323.96
"jpn",4471
"kaz",29774.2
"ken",6330
"kgz",1363.8
"khm",4104
"kor",1644
"kwt",14
"lao",1658
"lbn",271
"lka",2310
"ltu",2177.5
"lux",63.4
"lva",1296
"mar",9875
"mdg",3600
"mex",24374
"mli",6561
"mng",1328.35
"moz",5950
"mus",79
"mwi",3800
"mys",8286
"nam",810
"ner",17615
"nga",41500
"nic",1790
"nld",1066
"nor",808.158
"npl",2325.7
"nzl",608
"omn",85
"pak",31794
"pan",704
"per",5643
"phl",11056
"pol",11199
"pri",72.5
"prt",1743.18
"pry",4749
"pse",157.8
"qat",21
"rou",9000
"rus",123442
"rwa",1401.7
"sau",3627
"sdn",20601
"sen",3278
"slv",879.2
"srb",2802
"svk",1365
"svn",237.71
"swe",2568.98
"swz",190
"syr",5733
"tcd",5238
"tgo",2820
"tha",21810
"tjk",1000.4
"tto",47
"tun",4935
"tur",23711
"tza",14672.8
"uga",9100
"ukr",33673
"ury",2265.3
"usa",159891
"uzb",4421.3
"ven",3300
"vnm",11530.2
"xac",5195
"xca",120
"xcb",4822
"xea",2570
"xec",5952.5625
"xee",1973
"xef",122.48
"xer",1600.4
"xnf",2054
"xoc",1392.9
"xsa",106
"xsc",356
"xse",12649.1
"xsm",559.6
"xsu",2000
"xwf",3855
"xws",1385.8
"zaf",12413
"zmb",3836
"zwe",4100
