"REG","POP"
"afg",34413.603
"alb",2890.513
"are",9262.9
"arg",43075.416
"arm",2925.553
"aus",23932.502
"aut",8678.66
"aze",9622.745
"bel",11287.94
"ben",10575.952
"bfa",18110.624
"bgd",156256.276
"bgr",7199.741
"bhr",1371.851
"blr",9439.423
"bol",10869.73
"bra",204471.769
"bwa",2120.716
"caf",4493.17
"can",36026.676
"che",8296.775
"chl",17969.353
"chn",1430405.347
"civ",23226.143
"cmr",23298.368
"cod",76244.544
"cog",4856.095
"col",47520.667
"com",777.424
"cri",4847.804
"cyp",1160.985
"cze",10601.397
"deu",81787.411
"dnk",5688.695
"dom",10281.68
"dza",39728.025
"ecu",16212.02
"egy",92442.547
"esp",46671.926
"est",1315.325
"eth",100835.458
"fin",5481.122
"fra",65316.563
"gab",1947.686
"gbr",65860.146
"geo",4024.183
"gha",27849.205
"gin",11432.088
"gnq",1168.568
"grc",10659.75
"gtm",16252.429
"hkg",7185.996
"hnd",9112.916
"hrv",4232.874
"hun",9777.923
"idn",258383.256
"ind",1310152.403
"irl",4652.425
"irn",78492.215
"irq",35572.261
"isr",7978.49
"ita",60578.494
"jam",2891.021
"jor",9266.575
"jpn",127985.133
"kaz",17572.016
"ken",47878.336
"kgz",5959.121
"khm",15521.436
"kor",50823.093
"kwt",3835.591
"lao",6741.164
"lbn",6532.678
"lka",20908.027
"ltu",2931.88
"lux",566.741
"lva",1997.674
"mar",34663.603
"mdg",24234.088
"mex",121858.258
"mli",17438.778
"mng",2998.439
"moz",27042.002
"mus",1259.456
"mwi",16745.303
"mys",30270.962
"nam",2314.904
"ner",20001.663
"nga",181137.448
"nic",6223.24
"nld",16938.499
"nor",5199.836
"npl",27015.031
"nzl",4614.532
"omn",4267.348
"pak",199426.964
"pan",3968.487
"per",30470.734
"phl",102113.212
"pol",38034.079
"pri",3381.518
"prt",10368.351
"pry",6688.746
"pse",4529.166
"qat",2565.71
"rou",19925.175
"rus",144985.057
"rwa",11369.071
"sau",31717.667
"sdn",38902.95
"sen",14578.459
"slv",6325.124
"srb",8876.777
"svk",5435.611
"svn",2071.199
"swe",9764.95
"swz",1104.044
"syr",17997.408
"tcd",14110.975
"tgo",7323.158
"tha",68714.511
"tjk",8454.028
"tto",1370.328
"tun",11179.949
"tur",78529.409
"tza",51482.633
"uga",38225.453
"ukr",44921.639
"ury",3412.009
"usa",320878.31
"uzb",30929.557
"ven",30081.829
"vnm",92677.076
"xac",27884.381
"xca",360.933
"xcb",22020.323
"xea",25785.918
"xec",38929.7
"xee",4070.7
"xef",367.713
"xer",6135.645
"xnf",6944.531
"xoc",9850.65
"xsa",727.876
"xsc",2059.021
"xse",53877.028
"xsm",1587.574
"xsu",5565.287
"xwf",19513.507
"xws",26497.889
"zaf",55386.367
"zmb",15879.361
"zwe",13814.629
