"REG","INC"
"afg",18713.04841
"alb",11386.924853
"are",358134.94442
"arg",644903.200499
"arm",10553.337528
"aus",1247634.399291
"aut",381817.565894
"aze",53076.244755
"bel",462149.679344
"ben",11379.544643
"bfa",11823.20703
"bgd",194465.981065
"bgr",50782.022217
"bhr",31050.638298
"blr",56454.77726
"bol",33000.198248
"bra",1802211.999556
"bwa",14420.571192
"caf",1694.542946
"can",1556128.742617
"che",702149.580771
"chl",243919.085309
"chn",11061569.698044
"civ",45779.974486
"cmr",30905.253106
"cod",37917.678438
"cog",11750.612893
"col",293481.753079
"com",965.640689
"cri",56441.920824
"cyp",19834.550269
"cze",188033.05046
"deu",3356235.70412
"dnk",302673.070847
"dom",71155.035229
"dza",165979.118791
"ecu",99290.381
"egy",317744.560654
"esp",1195119.269972
"est",22881.558192
"eth",63078.657756
"fin",234440.080998
"fra",2438207.896252
"gab",14372.290379
"gbr",2956573.778738
"geo",14953.675993
"gha",50033.911736
"gin",8794.202416
"gnq",13175.520652
"grc",195604.861154
"gtm",62186.064755
"hkg",309385.622601
"hnd",20979.791685
"hrv",50163.190862
"hun",125210.324613
"idn",860854.232718
"ind",2146758.593732
"irl",291462.799653
"irn",417210.198857
"irq",166774.104911
"isr",300078.258565
"ita",1835899.23732
"jam",14197.703107
"jor",38587.017944
"jpn",4444930.651964
"kaz",184388.404429
"ken",70120.446664
"kgz",6678.177483
"khm",18049.953906
"kor",1465773.245547
"kwt",114584.570272
"lao",14390.446134
"lbn",50065.946086
"lka",80604.076558
"ltu",41418.872976
"lux",60047.430684
"lva",27252.128627
"mar",101179.307796
"mdg",11323.0207
"mex",1171870.072963
"mli",13094.849232
"mng",11749.628125
"moz",15950.978853
"mus",11692.287066
"mwi",8215.964597
"mys",301354.783724
"nam",11335.161746
"ner",9676.541052
"nga",494582.603949
"nic",12756.69629
"nld",765264.949781
"nor",385801.550067
"npl",23667.157889
"nzl",178064.471138
"omn",68399.663321
"pak",267035.292424
"pan",54091.713776
"per",189802.96189
"phl",306445.871631
"pol",477811.911394
"pri",103375.5
"prt",199313.894327
"pry",36211.44784
"pse",13972.4
"qat",161739.955578
"rou",177730.689856
"rus",1363482.200819
"rwa",8525.953149
"sau",654269.739552
"sdn",83933.478923
"sen",17761.402705
"slv",23438.23794
"srb",39655.949761
"svk",88601.289843
"svn",43090.173395
"swe",505103.78135
"swz",4058.639148
"syr",19966.555452
"tcd",11690.460037
"tgo",5345.703674
"tha",401296.183736
"tjk",8271.431932
"tto",25191.551351
"tun",43172.981584
"tur",864313.960372
"tza",48562.174524
"uga",29296.831595
"ukr",91030.968761
"ury",57080.759095
"usa",18206023
"uzb",81847.409755
"ven",344342.55993
"vnm",193241.122949
"xac",116193.647513
"xca",1734.320479
"xcb",101433.287752
"xea",61343.062677
"xec",14954.851594
"xee",7745.241913
"xef",23785.723659
"xer",30329.215948
"xnf",48522.032948
"xoc",28472.659952
"xsa",2003.596258
"xsc",2359.686745
"xse",65429.579725
"xsm",9406.07834
"xsu",36051.602135
"xwf",15509.585239
"xws",26660.296291
"zaf",317415.638821
"zmb",20858.963739
"zwe",19963.120615
