"REG","QCROP"
"afg",14059024.4113109
"alb",5478533.50448187
"are",2970236.68228128
"arg",196322841.049339
"arm",5954578.4551149
"aus",69472836.8913418
"aut",9259327.26771241
"aze",10626830.2579462
"bel",13219262.3750922
"ben",16527904.0224789
"bfa",10224814.6432393
"bgd",138450746.842897
"bgr",15519810.3622339
"bhr",145861.519469408
"blr",19562902.3590688
"bol",15747402.2082714
"bra",576058292.726197
"bwa",380963.64261259
"caf",4006322.80786214
"can",113159236.614361
"che",3635764.68301021
"chl",34616377.1499005
"chn",3000000443.98888
"civ",56444905.3840608
"cmr",42460093.8824908
"cod",46539913.744787
"cog",2301122.50408001
"col",60666124.919573
"com",495718.480738115
"cri",14026342.0679191
"cyp",857125.029103513
"cze",11876260.6068222
"deu",81103411.3723317
"dnk",12072616.8556559
"dom",13892917.9933682
"dza",42078605.0016246
"ecu",28818899.4260137
"egy",119959913.313583
"esp",139500000.839083
"est",1969086.22243981
"eth",54293885.5256781
"fin",4044402.36741331
"fra",134912224.153316
"gab",2072771.79769417
"gbr",40109284.5230082
"geo",3092730.07754927
"gha",63796596.8205884
"gin",16048072.6380331
"gnq",468750.451967
"grc",37318984.0782696
"gtm",30068556.2341985
"hkg",82933.1049971068
"hnd",10486180.8641475
"hrv",7808388.01541116
"hun",25581490.2602765
"idn",441136992.521606
"ind",1131739017.26233
"irl",3275615.57568621
"irn",137850184.649572
"irq",10635431.9047469
"isr",8173719.00091621
"ita",123157719.908854
"jam",2359070.0707266
"jor",6361511.54322421
"jpn",57137221.9621118
"kaz",32449272.1029148
"ken",28393402.4591673
"kgz",6888296.19208855
"khm",25917066.4606152
"kor",38336426.5350227
"kwt",1279038.84669369
"lao",23991600.6603978
"lbn",6267850.77999128
"lka",19320508.3890244
"ltu",7921461.11766206
"lux",243210.475397305
"lva",4038859.53002231
"mar",43455092.2206968
"mdg",19125134.9405893
"mex",142749490.692698
"mli",20990337.4466304
"mng",585604.812284441
"moz",11030521.6516053
"mus",1097543.59293827
"mwi",26251341.4909568
"mys",111470758.911497
"nam",1208684.77757486
"ner",18194088.3602951
"nga",307956477.296119
"nic",6465372.21160714
"nld",21634602.480476
"nor",1842577.80578078
"npl",30854941.5592088
"nzl",8215977.51553986
"omn",3104545.26072446
"pak",105509634.346575
"pan",2582745.15342056
"per",45426908.9071719
"phl",120673404.080468
"pol",58256831.9031177
"pri",496065.178088539
"prt",17833866.1103074
"pry",26913315.3075933
"pse",1538918.32774397
"qat",243383.321896838
"rou",40660568.8760211
"rus",199695225.081931
"rwa",10215987.0621224
"sau",11238604.7772537
"sdn",29004410.4316038
"sen",11507924.7416165
"slv",3953535.01769731
"srb",19073133.6810599
"svk",5212285.51231505
"svn",1832131.47315738
"swe",7572178.79774313
"swz",1783157.18237741
"syr",21237586.8759646
"tcd",9302693.70552928
"tgo",6055655.60633674
"tha",154772078.423488
"tjk",7844879.74740299
"tto",237759.734261353
"tun",24595742.5138876
"tur",192274709.260849
"tza",58364742.0634709
"uga",28055069.4112009
"ukr",135677366.538947
"ury",10882778.0446549
"usa",853425014.889672
"uzb",47008022.4922657
"ven",16332645.7928542
"vnm",167461261.856434
"xac",22278889.1720096
"xca",940235.36741983
"xcb",23783251.2623852
"xea",20029078.1502185
"xec",14644478.4339152
"xee",7824211.74881452
"xef",22718.9287051519
"xer",9385109.49595708
"xnf",5569730.67817148
"xoc",16981201.5905554
"xsa",670199.933013999
"xsc",295113.580813687
"xse",95873814.7788331
"xsm",3824120.24908654
"xsu",4887346.85650844
"xwf",11836540.4560757
"xws",5119273.14250576
"zaf",45610164.4791474
"zmb",7255927.48410078
"zwe",3449047.91682234
